33 256,33186,29036
diviya,diviy,a adj
divya,divy,a adj
diyaḍḍha,diyaḍḍh,a m
ḍīyana,ḍīyan,aṃ nt
dīyati,dīy,ati pr
dohaka,dohak,a m
dohaḷa,dohaḷ,a m
dohaḷinī,dohaḷin,ī f
dohī,doh,ī adj
dolā,dol,ā f
dolāyanta,dolāy,anta prp
dolāyati,dolāy,ati pr
dolāyi,dolāy,i aor
domanassa,domanass,aṃ nt
domanassaṭṭhānīya,domanassaṭṭhānīy,a adj
domanassita,domanassit,a adj
domanassūpavicāra,domanassūpavicār,a m
doṇa,doṇ,aṃ nt
doṇapāka,doṇapāk,a m
doṇi 1,doṇ,i f
doṇi 2,doṇ,i f
doṇi 3,doṇ,i f
doṇi 4,doṇ,i f
doṇikā,doṇik,ā f
dosa 1,dos,a m
dosa 2,dos,a m
dosa 3,dos,a m
dosa 4,dos,a adj
dosadhamma,dosadhamm,a m
dosadosa,dosados,a adj
dosagāmī,dosagām,ī adj
dosagata,dosagat,a m
dosaggi,dosagg,i m
dosaja,dosaj,a adj
dosakkhāna,dosakkhān,aṃ nt
dosakkhaya,dosakkhay,a m
dosantara,dosantar,a adj
dosāpagata,dosāpagat,a adj
dosāropaṇa,dosāropaṇ,aṃ nt
dosasama,dosasam,a adj
dosinā,dosin,ā f
dosinapuṇṇamāsī,dosinapuṇṇamās,ī f
dosūpasaṃhita,dosūpasaṃhit,a adj
dovacassa,dovacass,aṃ nt
dovacassakaraṇa,dovacassakaraṇ,a adj
dovārika,dovārik,a m
du,ind,
dubbā,dubb,ā f
dubbaca,dubbac,a adj
dubbacajātika,dubbacajātik,a adj
dubbacana,dubbacan,aṃ nt
dubbala,dubbal,a adj
dubbalabhāva,dubbalabhāv,a m
dubbalatā,dubbalat,ā f
dubbalatara,dubbalatar,a adj
dubbalatta,dubbalatt,aṃ nt
dubbalī,dubbal,ī adj
dubbalīkaraṇa,dubbalīkaraṇ,a adj
dubbalya,dubbaly,aṃ nt
dubbalyāvikamma,dubbalyāvikamm,aṃ nt
dubbaṇṇa,dubbaṇṇ,a adj
dubbaṇṇakaraṇa 1,dubbaṇṇakaraṇ,aṃ nt
dubbaṇṇakaraṇa 2,dubbaṇṇakaraṇ,aṃ nt
dubbaṇṇakaraṇī,dubbaṇṇakaraṇ,ī adj
dubbhaka,dubbhak,a adj
dubbhana,dubbhan,aṃ nt
dubbhara,dubbhar,a adj
dubbharatā,dubbharat,ā f
dubbhāsita 1,dubbhāsit,a adj
dubbhāsita 2,dubbhāsit,aṃ nt
dubbhati,dubbh,ati pr
dubbhaṭṭha,dubbhaṭṭh,aṃ nt
dubbhi,dubbh,i aor
dubbhikkha,dubbhikkh,aṃ nt
dubbhitvā,ind,
dubbijāna,dubbijān,a adj
dubbinīta,dubbinīt,a adj
dubbuṭṭhika,dubbuṭṭhik,a adj
dūbhaka,dūbhak,a adj
dubhaya,dubhay,a adj
duccaja,duccaj,a adj
duccarita 1,duccarit,a adj
duccarita 2,duccarit,aṃ nt
ducchanna,ducchann,a adj
duddama,duddam,a adj
duddasa,duddas,a adj
duddasāpanna,duddasāpann,a adj
duddasatara,duddasatar,a adj
duddasika,duddasik,a adj
duddha 1,duddh,aṃ nt
duddha 2,duddh,a pp
duddina,duddin,aṃ nt
duddiṭṭhi,duddiṭṭh,i adj
dugga 1,dugg,aṃ nt
dugga 2,dugg,aṃ nt
duggahita 1,duggahit,a adj
duggahita 2,duggahit,a adj
duggahita 3,duggahit,aṃ nt
duggahitatta,duggahitatt,aṃ nt
duggama,duggam,a adj
dugganda 1,duggand,a adj
dugganda 2,duggand,a m
duggandha 1,duggandh,a adj
duggandha 2,duggandh,a m
duggata,duggat,a adj
duggati,duggat,i f
duggatyā,duggat,i f
duha,duh,a adj
duhamāna,duh,amāna prp
duhana,duhan,aṃ nt
duhati,duh,ati pr
duhi,duh,i aor
duhitar,duhit,ar f
duhitika,duhitik,a adj
duhitvā,ind,
dujivha,dujivh,a m
dujjaha,dujjah,a adj
dujjāna,dujjān,a adj
dujjaya,dujjay,a adj
dujjīva,dujjīv,a adj
dujjīvita 1,dujjīvit,aṃ nt
dujjīvita 2,dujjīvit,aṃ nt
duka,duk,aṃ nt
dukha 1,dukh,a adj
dukha 2,dukh,aṃ nt
dukhāvaha,dukhāvah,a adj
dukkara,dukkar,a adj
dukkarabhāva,dukkarabhāv,a m
dukkaratā,dukkarat,ā f
dukkaratta,dukkaratt,aṃ nt
dukkata,dukkat,a adj
dukkaṭa 1,dukkaṭ,a adj
dukkaṭa 2,dukkaṭ,aṃ nt
dukkaṭakārī,dukkaṭakār,ī m
dukkha 1,dukkh,a adj
dukkha 2,dukkh,aṃ nt
dukkhaanubhavana,dukkhaanubhavan,aṃ nt
dukkhadhamma,dukkhadhamm,aṃ nt
dukkhādhivāha,dukkhādhivāh,a adj
dukkhadomanassa,dukkhadomanass,aṃ nt
dukkhakkhandha,dukkhakkhandh,a m
dukkhakkhaya,dukkhakkhay,a m
dukkhakkhayagāmī,dukkhakkhayagām,ī adj
dukkhaṃ,ind,
dukkhamicchati,dukkhamicch,ati pr
dukkhamidaṃ,ind,
dukkhanidāna,dukkhanidān,aṃ nt
dukkhanirodha,dukkhanirodh,a m
dukkhanirodhagāminī,dukkhanirodhagāmin,ī f
dukkhanirodhagāminī paṭipadā,ind,
dukkhāntagū,dukkhāntag,ū m
dukkhanti,ind,
dukkhantipi,ind,
dukkhānubhavana,dukkhānubhavan,aṃ nt
dukkhānupatita,dukkhānupatit,a adj
dukkhāpagama,dukkhāpagam,a m
dukkhāpana,dukkhāpan,aṃ nt
dukkhapareta,dukkhaparet,a adj
dukkhapaṭikkūla,dukkhapaṭikkūl,a adj
dukkhapenta,dukkhap,enta prp
dukkhāpesi,dukkhāp,esi aor
dukkhāpeti,dukkhāp,eti pr
dukkhapetvā,ind,
dukkhapita,dukkhapit,a pp
dukkhappahāṇa,dukkhappahāṇ,aṃ nt
dukkhappaṭikūla,dukkhappaṭikūl,a adj
dukkhappatta,dukkhappatt,a adj
dukkhasacca,dukkhasacc,aṃ nt
dukkhasammata,dukkhasammat,a adj
dukkhasamphassa,dukkhasamphass,a adj
dukkhasamudaya,dukkhasamuday,a m
dukkhasamuppāda,dukkhasamuppād,a m
dukkhasaññā,dukkhasaññ,ā f
dukkhaseyyā,dukkhaseyy,ā f
dukkhassanta,dukkhassant,a m
dukkhassantakara,dukkhassantakar,a adj
dukkhato 1,dukk,aṃ nt
dukkhato 2,ind,
dukkhavedanā,dukkhavedan,ā f
dukkhavedaniya,dukkhavedaniy,a adj
dukkhavipāka,dukkhavipāk,a adj
dukkhāya,dukk,aṃ nt
dukkhayati,dukkhay,ati pr
dukkhesi,dukkh,esi aor
dukkhī,dukkh,ī adj
dukkhita 1,dukkhit,a adj
dukkhita 2,dukkhit,a pp
dukkhīyati,dukkhīy,ati pr
dukkhīyi,dukkhīy,i aor
dukkhotiṇṇa,dukkhotiṇṇ,a adj
dukkhudraya,dukkhudray,a adj
dukkhūpanīta,dukkhūpanīt,a adj
dukkhūpasama,dukkhūpasam,a m
dukkhūpasamagāmī,dukkhūpasamagām,ī adj
dukūla,dukūl,aṃ nt
dullabha,dullabh,a adj
dullabhapiṇḍa,dullabhapiṇḍ,a adj
dulladdha 1,dulladdh,a adj
dulladdhaṃ,ind,
dulladdhi,dulladdh,i f
duma,dum,a m
dumagga,dumagg,aṃ nt
dumantara,dumantar,aṃ nt
dumapatta,dumapatt,aṃ nt
duminda,dumind,a m
dummana,dumman,a adj
dummaṅku,dummaṅk,u adj
dummatī,dummat,ī m
dummedha 1,dummedh,a adj
dummedha 2,dummedh,a m
dummedhī,dummedh,ī adj
dummejjha,dummejjh,aṃ nt
dummukha,dummukh,a adj
dumuppala,dumuppal,a m
dumuttama,dumuttam,a m
dundubhi,dundubh,iṃ nt
dunnāmaka,dunnāmak,aṃ nt
dunniggaha,dunniggah,a adj
dunnikkhitta,dunnikkhitt,a adj
dunnimitta,dunnimitt,aṃ nt
dunnīta,dunnīt,a adj
dunnivāraya,dunnivāray,a adj
dunnivattha,dunnivatth,a adj
dupaṭṭa,dupaṭṭ,a adj
duphassa,duphass,a m
duppabbajja,duppabbajj,a adj
duppadhaṃsiya,duppadhaṃsiy,a adj
duppamuñca,duppamuñc,a adj
duppañña 1,duppaññ,a adj
duppañña 2,duppaññ,a m
dupparāmaṭṭha,dupparāmaṭṭh,a pp
dupparihāriya,dupparihāriy,a adj
duppāruta,duppārut,a adj
duppasaha,duppasah,a adj
duppaṭinissaggiya,duppaṭinissaggiy,a adj
duppaṭivijjha,duppaṭivijjh,a adj
dur,ind,
dūra 1,dūr,a adj
dūra 2,dūr,aṃ nt
durabhirama,durabhiram,a adj
durabhisambhava,durabhisambhav,a adj
duraccaya,duraccay,a adj
dūragama,dūragam,a adj
durāgata,durāgat,a adj
durājāna,durājān,a adj
dūrakantana,dūrakantan,aṃ nt
durakkha,durakkh,a adj
durakkhāta,durakkhāt,a pp
dūrama,dūram,a adj
dūraṅgama,dūraṅgam,a adj
durannaya,durannay,a adj
duranubhodha,duranubhodh,a adj
durāsada,durāsad,a adj
duratikkama,duratikkam,a adj
dūrato,ind,
dūratopi,ind,
dūratova,ind,
dūratta,dūratt,aṃ nt
durattavaṇṇa,durattavaṇṇ,a m
durāvāsa,durāvās,a adj
dūre 1,ind,
dūre 2,ind,
dūrepātī,dūrepāt,ī m
durita,durit,aṃ nt
durūpeta,durūpet,a adj
durutta 1,durutt,a adj
durutta 2,durutt,aṃ nt
dusa,dus,a m
dūsaka,dūsak,a m
dūsana,dūsan,aṃ nt
dūsayamāna,dūsay,amāna prp
dūsenta,dūs,enta prp
dūsesi,dūs,esi aor
dūseti,dūs,eti pr
dūsetvā,ind,
dūsī,dūs,ī adj
dūsita,dūsit,a pp
dussa,duss,aṃ nt
dussaha,dussah,a adj
dussakaraṇḍaka,dussakaraṇḍak,a m
dussakoṭṭhāgāra,dussakoṭṭhāgār,aṃ nt
dussamuṭṭhāpaya,dussamuṭṭhāpay,a adj
dussana,dussan,aṃ nt
dussanīya,dussanīy,a adj
dussapaṭṭa,dussapaṭṭ,aṃ nt
dussassa,dussass,aṃ nt
dussati 1,duss,ati pr
dussati 2,duss,ati pr
dussati 3,duss,ati pr
dussavaṭṭi,dussavaṭṭ,i f
dussayuga,dussayug,aṃ nt
dussi,duss,i aor
dussīla,dussīl,a adj
dussīlya,dussīly,aṃ nt
dussitvā,ind,
dūta,dūt,a m
dutappaya,dutappay,a adj
dūteyya,dūteyy,aṃ nt
dūteyyapahiṇagamanānuyoga,dūteyyapahiṇagamanānuyog,a m
dutī,dut,ī f
dutiyā,dutiy,ā f
dutiya 1,dutiy,a ordin
dutiya 2,dutiy,a m
dutiya 3,dutiy,a m
dutiyā vibhatti,ind,
dutiyacatuttha,dutiyacatutth,a m
dutiyajjhāna,dutiyajjhān,aṃ nt
dutiyajjhānasamāpatti,dutiyajjhānasamāpatt,i f
dutiyaka,dutiyak,a adj
dutiyaṃ,ind,
dutiyampi,ind,
dutiyānupassanā,dutiyānupassan,ā f
duttara,duttar,a adj
duṭṭha 1,duṭṭh,a adj
duṭṭha 2,duṭṭh,a adj
duṭṭha 3,duṭṭh,a adj
duṭṭha 4,duṭṭh,a m
duṭṭhacitta,duṭṭhacitt,aṃ nt
duṭṭhamana,duṭṭhaman,a adj
duṭṭhāruka,duṭṭhāruk,a m
duṭṭhu,ind,
duṭṭhulla 1,duṭṭhull,aṃ nt
duṭṭhulla 2,duṭṭhull,a adj
duṭṭhulla 3,duṭṭhull,a adj
duṭṭhulla 4,duṭṭhull,aṃ nt
duṭṭhullāduṭṭhulla,duṭṭhullāduṭṭhull,aṃ nt
duvaṅgika,duvaṅgik,a adj
duve,irreg,dvi card
duvidha,duvidh,a adj
duvūpasamaya,duvūpasamay,a adj
duyhati,duyh,ati pr
duyhi,duyh,i aor
dvācattāḷīsati,dvācattāḷīsat,i f
dvādasa,dvādas,a card
dvādasama,dvādasam,a ordin
dvāhaṃ,ind,
dvānavuti,dvānavut,i f
dvanda 1,dvand,aṃ nt
dvanda 2,dvand,a m
dvaṅgula 1,dvaṅgul,a adj
dvaṅgula 2,dvaṅgul,a adj
dvāra,dvār,aṃ nt
dvārabāhā,dvārabāh,ā f
dvāragāma,dvāragām,a m
dvārakavāṭa,dvārakavāṭ,aṃ nt
dvārakosa,dvārakos,a m
dvārakoṭṭhaka 1,dvārakoṭṭhak,aṃ nt
dvārakoṭṭhaka 2,dvārakoṭṭhak,aṃ nt
dvārapāla,dvārapāl,a m
dvārasālā,dvārasāl,ā f
dvāraṭṭha,dvāraṭṭh,a m
dvārika,dvārik,a adj
dvāsattati,dvāsattat,i f
dvāsaṭṭhi,dvāsaṭṭh,i f
dvāsīti,dvāsīt,i f
dvatti,dvat,ti card
dvatticchadana,dvatticchadan,aṃ nt
dvattikkhattuṃ,ind,
dvattiṃsamahāpurisalakkhaṇāni,dvattiṃsamahāpurisalakkhaṇ,aṃ nt
dvattiṃsati,dvattiṃsat,i card
dvattipatta,dvattipatt,aṃ nt
dvattipattapūrā,dvattipattapūr,a m
dvāvīsati,dvāvīsat,i f
dvaya 1,dvay,a adj
dvaya 2,dvay,aṃ nt
dvayaṃdvayasamāpatti,dvayaṃdvayasamāpatt,i f
dvayanissita,dvayanissit,a adj
dvayatā,dvayat,ā f
dvayatānupassanā,dvayatānupassan,ā f
dvayatānupassī,dvayatānupass,ī adj
dve 1,irreg,dvi card
dvetayo,dve,ti card
dve 2,irreg,dvi card
dvebhāva,dvebhāv,a m
dvebhūta,dvebhūt,a adj
dvedhā,ind,
dvedhābhinna,dvedhābhinn,a adj
dvedhāpatha,dvedhāpath,a m
dvejjha,dvejjh,aṃ nt
dveḷhaka,dveḷhak,aṃ nt
dveḷhakajāta,dveḷhakajāt,a adj
dvemā,ind,
dveme,ind,
dvenavuti,dvenavut,i card
dvepatha,dvepath,a m
dvevācika,dvevācik,a adj
dveyeva,ind,
dvi,irreg,dvi card
dvibandhana,dvibandhan,a adj
dvicattālīsati,dvicattālīsat,i f
dvidhā,ind,
dvidhāpatha,dvidhāpath,a m
dviguṇa,dviguṇ,a adj
dvīha,dvīh,aṃ nt
dvīhākārehi,ind,
dvīhatīha,dvīhatīh,aṃ nt
dvija 1,dvij,a adj
dvija 2,dvij,a m
dvija 3,dvij,a m
dvijivha,dvijivh,a adj
dvika,dvik,aṃ nt
dvikammaka,dvikammak,a adj
dvikkhattuṃ,ind,
dvikuṭika,dvikuṭik,a adj
dvimāsika,dvimāsik,a adj
dvinavuti,dvinavut,i f
dvinnaṃ,irreg,dvi card
dvipa,dvip,a m
dvipada 1,dvipad,a adj
dvipada 2,dvipad,a m
dvipada 3,dvipad,aṃ nt
dvipaññāsati,dvipaññāsat,i f
dvipatha,dvipath,a m
dviporisa,dviporis,a adj
dvisahassa,dvisahass,aṃ nt
dvisata,dvisat,aṃ nt
dvisattati,dvisattat,i f
dvisaṭṭhi,dvisaṭṭh,i f
dvitāla,dvitāl,a adj
dvītīhaṃ,ind,
dvitta,dvitt,aṃ nt
e 1,,
e 2,irreg,
edanta,edant,a adj
edha,edh,a m
edhati,edh,ati pr
edhi,edh,i aor
edisa,edis,a adj
edisaka,edisak,a adj
ehambho,ind,
ehāvuso,ind,
ehi,-,etu imp
ehibhikkhu,ind,
ehinti,e,hiti fut
ehipassika,ehipassik,a adj
ehisi,e,hiti fut
ejā,ej,ā f
ejānuga,ejānug,a adj
eka 1,-,eka card
eka 2,-,eka card
eka 3,-,eka card
eka 4,-,eka card
eka 5,-,eka card
eka 6,-,eka card
ekā 1,-,eka card
ekā 2,ek,eka card
ekabandhana,ekabandhan,a adj
ekabhatta,ekabhatt,aṃ nt
ekabhattika,ekabhattik,a adj
ekābhidhāna,ekābhidhān,aṃ nt
ekacara,ekacar,a adj
ekacārī,ekacār,i adj
ekacariya,ekacariy,aṃ nt
ekacattālīsā,ekacattālīs,ā card
ekacca,ekacc,a adj
ekacchiggaḷa,ekacchiggaḷ,a adj
ekacciya,ekacciy,a adj
ekadā,ind,
ekādasa 1,ekādas,a card
ekādasa 2,ekādas,a ordin
ekādasama,ekādasam,a ordin
ekādasamāsa,ekādasamās,a m
ekaddhānamagga,addhānamagg,a m
ekadesa,ekades,a m
ekadhā,ind,
ekadhamma,ekadhamm,a m
ekadivasa,ekadivas,a m
ekadivasaṃ,ind,
ekāgārika,ekāgārik,a m
ekagga,ekagg,a adj
ekaggacitta,ekaggacitt,a adj
ekaggatā,ekaggat,ā f
ekagghana,ekagghan,a adj
ekaghana,ekaghan,a adj
ekaguṇa,ekaguṇ,a adj
ekāha,ekāh,aṃ nt
ekāhika,ekāhik,a adj
ekaja,ekaj,a adj
ekajjhaṃ,ind,
ekaka 1,ekak,a adj
ekaka 2,ekak,aṃ nt
ekakamma,ekakamm,aṃ nt
ekakappa,ekakapp,a m
ekākī,ekāk,ī adj
ekākinī,ekākin,ī f
ekākiya,ekākiy,a adj
ekakkhattuṃ,ind,
ekakkhī,ekakkh,ī adj
ekakkhika,ekakkhik,a adj
ekakuṭika,ekakuṭik,a adj
ekaṃ samayaṃ,ind,
ekamantaṃ,ind,
ekameka,ekamek,eka card
ekamidāhaṃ,ind,
ekampi,ind,
ekaṃsa 1,ekaṃs,a adj
ekaṃsa 2,ekaṃs,a adj
ekaṃsabyākaraṇīya,ekaṃsabyākaraṇīy,a adj
ekaṃsaṃ,ind,
ekaṃsaṃ uttarāsaṅgaṃ karitvā,ind,
ekaṃsavacana,ekaṃsavacan,aṃ nt
ekaṃsena,ind,
ekaṃsika 1,ekaṃsik,a adj
ekaṃsika 2,ekaṃsik,a adj
ekaṃyeva,ind,
ekanavuti,ekanavut,i card
ekañca,ind,
ekaṅga,ekaṅg,aṃ nt
ekañhi,ind,
ekanikāya,ekanikāy,a m
ekaññeva,ind,
ekanta,ekant,a adj
ekantagata,ekantagat,a adj
ekantaṃ,ind,
ekantaparipuṇṇa,ekantaparipuṇṇ,a adj
ekantaparisuddha,ekantaparisuddh,a adj
ekantarika,ekantarik,a adj
ekantasukha,ekantasukh,a adj
ekantasukhī,ekantasukh,ī adj
ekantena,ind,
ekānupassanā,ekānupassan,ā f
ekapada,ekapad,aṃ nt
ekapadikamagga,ekapadikamagg,a m
ekapāliphulla,ekapāliphull,a adj
ekapaṇṇa,ekapaṇṇ,a adj
ekapaṭalika,ekapaṭalik,a adj
ekapaṭṭa,ekapaṭṭ,a adj
ekapiṇḍita,ekapiṇḍit,a adj
ekappahārena,ind,
ekapuggala,ekapuggal,a m
ekāra 1,ekār,a m
ekāra 2,ekār,a m
ekarajja,ekarajj,aṃ nt
ekaratta,ekaratt,aṃ nt
ekarattaṃ,ind,
ekarattampi,ind,
ekarattiparivāsa,ekarattiparivās,a adj
ekarattivāsa,ekarattivās,a m
ekasālaka,ekasālak,a adj
ekāsana 1,ekāsan,a adj
ekāsana 2,ekāsan,aṃ nt
ekāsana 3,ekāsan,aṃ nt
ekāsanabhojana,ekāsanabhojan,aṃ nt
ekāsanika,ekāsanik,a m
ekāsanikatta,ekāsanikatt,aṃ nt
ekasāṭaka,ind,
ekaseyya,ekaseyy,a adj
ekaso,ind,
ekassara,ekassar,a adj
ekatiya,ekatiy,a adj
ekato 1,ind,
ekato 2,ind,
ekatopakkhika,ekatopakkhik,a adj
ekatta 1,ekatt,aṃ nt
ekatta 2,ekatt,aṃ nt
ekatta 3,ekatt,aṃ nt
ekatta 4,ekatt,a adj
ekatta 5,ekatt,aṃ nt
ekattasita,ekattasit,a adj
ekattha,ekatth,a adj
ekavacana,ekavacan,aṃ nt
ekavāraṃ,ind,
ekavibhattika,ekavibhattik,a adj
ekavidha,ekavidh,a adj
ekavihāra,ekavihār,a m
ekavihārī,ekavihār,ī m
ekavīsati,ekavīsat,i card
ekāya,ek,eka card
ekāyana,ekāyan,a m
eke,ek,eka card
ekeka,ekek,a adj
ekekaloma,ekekalom,a adj
ekekaṃ,ind,
ekena,ek,eka card
ekenapi,ind,
ekībhāva 1,ekībhāv,a m
ekībhāva 2,ekībhāv,a m
ekībhūta,ekībhūt,a adj
ekidaṃ,ind,
ekikā,ekik,ā f
eko ekāya,ind,
ekodaka,ekodak,a adj
ekodi,ekod,i adj
ekodi hoti,ind,
ekodibhāva,ekodibhāv,a m
ekodibhāvādhigata,ekodibhāvādhigat,a adj
ekodibhūta,ekodibhūt,a adj
ekova,ind,
ekuddesa,ekuddes,a adj
ekūna,ekūn,a adj
ekūnacattāḷīsati,ekūnacattāḷīsat,i f
ekūnapaññāsā,ekūnapaññās,ā f
ekūnasata,ekūnasat,aṃ nt
ekūnasattati,ekūnasattat,i f
ekūnasaṭṭhi,ekūnasaṭṭh,i f
ekūnāsīti,ekūnāsīt,i f
ekūnatiṃsati,ekūnatiṃsat,i f
ekūnavīsati,ekūnavīsat,i f
ekūnavuti,ekūnavut,i f
elā,el,ā f
eḷa,eḷ,a m
eḷā,eḷ,ā f
eḷagala,eḷagal,a adj
eḷagalā,eḷagal,ā f
eḷagalāgumba,eḷagalāgumb,a m
eḷaka,eḷak,a m
eḷakaloma,eḷakalom,aṃ nt
eḷāluka,eḷāluk,aṃ nt
eḷamūga 1,eḷamūg,a adj
eḷamūga 2,eḷamūg,a m
enaṃ,e,ta pron
eṇeyya,eṇeyy,a m
eṇeyyaka,eṇeyyak,aṃ nt
eṇi,eṇ,i f
eṇijaṅgha,eṇijaṅgh,a adj
eṇimiga,eṇimig,a m
enta,,enta prp
eraka,erak,a m
erakadussa,erakaduss,aṃ nt
eraṇda,eraṇd,a m
eraṇḍa,eraṇḍ,a m
eraṇḍatela,eraṇḍatel,aṃ nt
erāvaṇa,erāvaṇ,a m
erāvata,erāvat,a m
eresi,er,esi aor
ereti,er,eti pr
erita,erit,a pp
esa,e,ta pron
esā,e,ta pron
esāhaṃ,ind,
esamāna,es,amāna prp
esana,esan,a adj
esanā,esan,ā f
esāna,es,āna prp
esānaṃ 1,irreg,ima pron
esānaṃ 2,irreg,ima pron
esanī,esan,ī f
esanta,es,anta prp
esati,es,ati pr
eseva,ind,
esevanto,ind,
esi,es,i aor
esī,es,ī adj
esikā,esik,ā f
esikātthambha,esikātthambh,a m
esinī,esin,ī f
esita,esit,a pp
esitabba,esitabb,a ptp
esitvā,ind,
eso,e,ta pron
esohamasmi,ind,
essati,-,eti pr
eta,e,ta pron
etad,e,ta pron
etadabravi,ind,
etadabravuṃ,ind,
etadaggaṃ,ind,
etadahosi,etad,hū aor
etadaññāya,ind,
etadattha,ind,
etadavoca,etad,vac aor
etadavocaṃ,etad,vac aor
etadavocuṃ,etad,vac aor
etadeva,ind,
etādisa,etādis,aī adj
etaṃ 1,e,ta pron
etaṃ 2,e,ta pron
etaṃ ṭhānaṃ vijjati,ind,
etamādīnava,ind,
etamattha,etamatth,a m
etamatthaṃ,ind,
etamhā,e,ta pron
etampi,ind,
etañca,ind,
etañhi,ind,
etāni 1,e,ta pron
etāni 2,e,ta pron
etarahi,ind,
etasmā,e,ta pron
etasmiṃ 1,e,ta pron
etassa 1,e,ta pron
etassa 2,e,ta pron
etassa bhagavā kālo,ind,
etassa bhāsitassa atthaṃ,ind,
etasseva,ind,
etāya 1,e,ta pron
etāya 2,e,ta pron
etāya 3,e,ta pron
etāya 4,e,ta pron
ete,e,ta pron
etehi,e,ta pron
etena,ind,
eteneva,ind,
etesaṃ 1,e,ta pron
etesaṃ 2,e,ta pron
etesu,e,ta pron
eteyeva,ind,
etha,-,etu imp
eti 1,-,eti pr
eti 2,-,eti pr
etissā 1,e,ta pron
etissā 2,e,ta pron
etta 1,ett,a adj
etta 2,ett,aṃ nt
ettaka,ettak,a adj
ettāvatā,ind,
ettāvatagga,ettāvatagg,a adj
ettāvatāpi,ind,
ettha,ind,
ettha dāni,ind,
etthantare,ind,
etthāyaṃ,ind,
etthesā,ind,
etthete,ind,
ettheva,ind,
eṭṭhi,eṭṭh,i f
etto,ind,
etu,-,etu imp
eva,ind,
evāhaṃ,ind,
evaṃ 1,ind,
evaṃ 2,ind,
evaṃ hoti,ind,
evaṃ me sutaṃ,ind,
evaṃ santaṃ,ind,
evaṃ santāyaṃ,ind,
evaṃ sante,ind,
evaṃ vutte,ind,
evamāha,irreg,āh perf
evamāhaṃsu,irreg,āh perf
evaṃakāsi,evaṃak,āsi aor
evamakkhāyī,evamakkhāy,ī adj
evamaññepi,ind,
evamassa 1,ind,
evamassa 2,ind,
evamassa 3,ind,
evamassu,ind,
evamassu vacanīyā,ind,
evamāvuso,ind,
evaṃbyākho,ind,
evaṃdhamma,evaṃdhamm,a adj
evaṃdiṭṭhī,evaṃdiṭṭh,ī adj
evamesā,ind,
evametaṃ,ind,
evametassa,ind,
evametesaṃ,ind,
evametissā,ind,
evameva,ind,
evameva kho,ind,
evamevaṃ,ind,
evaṃgotta,evaṃgott,a adj
evamidaṃ,ind,
evaṃkārī,evaṃkār,ī adj
evaṃnāma,evaṃnām,a adj
evaṃpañña,evaṃpaññ,a adj
evaṃpaṭipanna,evaṃpaṭipann,a adj
evampi,ind,
evaṃrūpa,evaṃrūp,a adj
evaṃsa,ind,
evaṃsamācāra,evaṃsamācār,a adj
evaṃsaṅkhāra,evaṃsaṅkhār,a adj
evaṃsañña,evaṃsaññ,a adj
evaṃsaññī,evaṃsaññ,ī adj
evaṃsīla,evaṃsīl,a adj
evaṃvādī,evaṃvād,ī adj
evaṃvedana,evaṃvedan,a adj
evaṃvidha,evaṃvidh,a adj
evaṃvihārī,evaṃvihār,ī adj
evaṃviññāṇa,evaṃviññāṇ,a adj
evañca,ind,
evañcetaṃ,ind,
evañcettha,ind,
evañhi,ind,
evarūpa,evarūp,aī adj
evarūpepi,ind,
evarūpiṃ,evarūp,aī adj
evarūpopi,ind,
evassa,ind,
evāyaṃ,ind,
evesā,ind,
evetaṃ,ind,
eyya 1,-,eyya opt
eyya 2,eyy,a m
ga,g,a m
gabbha 1,gabbh,a m
gabbha 2,gabbh,a m
gabbha 3,gabbh,a m
gabbhagata,gabbhagat,a adj
gabbhakaraṇa,gabbhakaraṇ,aṃ nt
gabbhaṃ gaṇhati,ind,
gabbhamala,gabbhamal,aṃ nt
gabbhapariharaṇa,gabbhapariharaṇ,aṃ nt
gabbhapātana,gabbhapātan,aṃ nt
gabbhara,gabbhar,aṃ nt
gabbhāsaya,gabbhāsay,a m
gabbhaseyyā,gabbhaseyy,ā f
gabbhaseyyaka,gabbhaseyyak,a adj
gabbhāvakkanti,gabbhāvakkant,i f
gabbhavuṭṭhāna,gabbhavuṭṭhān,aṃ nt
gabbhī,gabbh,ī adj
gabbhinī 1,gabbh,ī adj
gabbhinī 2,gabbhin,ī f
gabbita,gabbit,a adj
gaccha 1,gacch,atu imp
gaccha 2,gacch,a m
gacchaṃ,gacch,i aor
gacchamāna,gacch,amāna prp
gacchanta,gacch,anta prp
gacchati 1,gacch,ati pr
gacchati 2,gacch,ati pr
gacchāvuso,ind,
gacchi,gacch,i aor
gada,gad,a m
gadā,gad,ā f
gadati,gad,ati pr
gaddha,gaddh,a m
gadduhana,gadduhan,aṃ nt
gadduhanamattaṃ,ind,
gaddula,gaddul,a m
gaddulabaddha,gaddulabaddh,a adj
gādha,gādh,a adj
gādhati,gādh,ati pr
gādhi,gādh,i aor
gadhita,gadhit,a pp
gadi,gad,i aor
gadita,gadit,a pp
gadrabha,gadrabh,a m
gagana,gagan,aṃ nt
gaganagāmī,gaganagām,ī adj
gaggarā,gaggar,ā f
gaggarāyati,gaggarāy,ati pr
gaggarī,gaggar,ī f
gaha 1,gah,a m
gaha 2,gah,aṃ nt
gaha 3,gah,a m
gaha 4,gah,a m
gāha 1,gāh,a adj
gāha 2,gāh,a m
