33 256,33186,29036
abhidosa,abhidos,a m
abhidosika,abhidosik,a adj
ābhidosika,,
abhigajjana,abhigajjan,aṃ nt
abhigajjanta,abhigajj,anta prp
abhigajjati,abhigajj,ati pr
abhigajji,abhigajj,i aor
abhigajjī,abhigajj,ī adj
abhighāta,abhighāt,a m
abhighātana,abhighātan,aṃ nt
abhighātī,abhighāt,ī m
abhigijjhana,abhigijjhan,aṃ nt
abhigijjhati,abhigijjh,ati pr
abhigijjhi,abhigijjh,i aor
abhigīta,abhigīt,a pp
abhihanati,abhihan,ati pr
abhihani,abhihan,i aor
abhihāra 1,abhihār,a m
abhihāra 2,abhihār,a m
abhiharati 1,abhihar,ati pr
abhiharati 2,abhihar,ati pr
abhihārayati,abhihāray,ati pr
abhihārayi,abhihāray,i aor
abhihari,abhi,har aor
abhiharituṃ,ind,
abhihata,abhihat,a pp
abhihaṭa,abhihaṭ,a pp
abhihaṭṭhuṃ 1,ind,
abhihaṭṭhuṃ 2,ind,
abhihaṭṭhuṃ pavāreti,abhihaṭṭhuṃ pavār,ati pr
abhihita,abhihit,a pp
abhijānamāna,abhijān,amāna prp
abhijānana,abhijānan,aṃ nt
abhijānanta,abhijān,anta prp
abhijānāti 1,abhijān,āti pr
abhijānāti 2,abhijān,āti pr
abhijānāti 3,abhijān,āti pr
abhijāni,abhijān,i aor
abhijaññā,abhi,ñā opt
abhijappana,abhijappan,aṃ nt
abhijappati,abhijapp,ati pr
abhijappi,abhijapp,i aor
abhijappita,abhijappit,aṃ nt
abhijāta,abhijāt,a adj
abhijāti,abhi,jāti f
abhijāyati,abhijāy,ati pr
abhijigiṃsati,abhijigiṃs,ati pr
abhijigiṃsi,abhijigiṃs,i aor
abhijjamāna,abhijj,amāna prp
abhijjanaka,abhijjanak,a adj
abhijjhā,abhijjh,ā f
abhijjhādomanassa,abhijjhādomanass,a m
abhijjhālu,abhijjhāl,u adj
abhijjhātu,abhijjhāt,u3 m
abhijjhāyati,abhijjhāy,ati pr
abhijjhāyi,abhijjhāy,i aor
abhijjhita,abhijjhit,a pp
abhikaṅkhamāna,abhikaṅkh,amāna prp
abhikaṅkhana,abhikaṅkhan,aṃ nt
abhikaṅkhati,abhikaṅkh,ati pr
abhikaṅkhi,abhikaṅkh,i aor
abhikaṅkhī,,
abhikaṅkhita,abhikaṅkhit,a pp
abhikiṇṇa,abhikiṇṇ,a pp
abhikiraṇa,abhikiraṇ,aṃ nt
abhikirati,abhikir,ati pr
abhikkama,abhikkam,a m
abhikkamanta,abhikkam,anta prp
abhikkamapaṭikkama,abhikkamapaṭikkam,a m
abhikkamati 1,abhikkam,ati pr
abhikkamati 2,abhikkam,ati pr
abhikkami,abhikkam,i aor
abhikkamitabba,abhikkamitabb,a ptp
abhikkamosānaṃ,ind,
abhikkanta 1,abhikkant,a adj
abhikkanta 2,abhikkant,aṃ nt
abhikkanta 3,abhikkant,a pp
abhikkantaṃ,ind,
abhikkantatara,abhikkantatar,a adj
abhikkantāya rattiyā,ind,
abhikkhaṇa,abhikkhaṇ,a adj
abhikkhaṇaṃ,ind,
abhikkhaṇana,abhikkhaṇan,aṃ nt
abhikkhaṇātaṅka,abhikkhaṇātaṅk,a adj
abhikkhaṇati,abhikkhaṇ,ati pr
abhikkhaṇi,abhikkhaṇ,i aor
abhikūjana,abhikūjan,aṃ nt
abhikūjati,abhikūj,ati pr
abhikūji,abhikūj,i aor
abhikūjita,abhikūjit,a pp
abhilakkhesi,abhilakkh,esi aor
abhilakkheti,abhilakkh,eti pr
abhilakkhita,abhilakkhit,a pp
abhilāpa,abhilāp,a m
abhilāsā,abhilās,ā f
abhilepana,abhilepan,aṃ nt
abhimaddana,abhimaddan,aṃ nt
abhimaddati,abhimadd,ati pr
abhimaddi,abhimadd,i aor
abhimaddita,abhimaddit,a pp
abhimana,abhiman,a adj
abhimāna,abhimān,a m
abhimaṅgala,abhimaṅgal,a adj
abhimanthati,abhimanth,ati pr
abhimanthesi,abhimanth,esi aor
abhimantheti,abhimanth,eti pr
abhimantheyya,abhimanth,eyya opt
abhimanthi,abhimanth,i aor
abhimanthita,abhimanthit,a pp
abhimata,abhimat,a pp
abhimatthati,abhimatth,ati pr
abhimukha 1,abhimukh,a adj
abhimukha 2,abhimukh,a m
abhimukhaṃ,ind,
abhinadati,abhinad,ati pr
abhinadi,abhinad,i aor
abhinadī,,
abhinadita,abhinadit,a pp
abhinādita,abhinādit,a pp
abhinamati,abhinam,ati pr
abhinami,abhinam,i aor
abhinandana,abhinandan,aṃ nt
abhinandanta,abhinand,anta prp
abhinandati,abhinand,ati pr
abhinandi,abhinand,i aor
abhinandī,abhinand,ī adj
abhinandita,abhinandit,aṃ nt
abhinanditabba,abhinanditabb,a ptp
abhinandituṃ,ind,
abhinanditvā,ind,
abhinata,abhinat,a pp
abhinava,abhinav,a adj
abhinayana,abhinayan,aṃ nt
abhinetabba,abhinetabb,a ptp
abhineti,abhin,eti pr
abhiṇha,abhiṇh,a adj
abhiṇhaṃ,ind,
abhiṇhasannipāta,abhiṇhasannipāt,a m
abhiṇhaso,ind,
abhinibbatta,abhinibbatt,a pp
abhinibbattana,abhinibbattan,aṃ nt
abhinibbattati,abhinibbatt,ati pr
abhinibbattenta,abhinibbatt,enta prp
abhinibbattesi,abhinibbatt,esi aor
abhinibbatteti,abhinibbatt,eti pr
abhinibbatti 1,abhinibbatt,i f
abhinibbhidā,abhinibbhid,ā f
abhinibbhijjati,abhinibbhijj,ati pr
abhinibbidā,abhinibbid,ā f
abhinibbuta,abhinibbut,a adj
abhinibbutatta,abhinibbutatt,a adj
abhiniggaṇhāti,abhiniggaṇh,āti pr
abhiniggaṇhitabba,abhiniggaṇhitabb,a ptp
abhinihanati,abhinihan,ati pr
abhinīhāra,abhinīhār,a m
abhinīhāraṃ katvā,ind,
abhinīharati 1,abhinīhar,ati pr
abhinīharati 2,abhinīhar,ati pr
abhinīhari,abhinīhar,i aor
abhinīhaṭa,abhinīhaṭ,a pp
abhinikkhamana,abhinikkhaman,aṃ nt
abhinikkhamati,abhinikkham,ati pr
abhinikkhami,abhinikkham,i aor
abhinikkhamma,ind,
abhinikkhanta,abhinikkhant,a pp
abhinikkhipana,abhinikkhipan,aṃ nt
abhinikkhipati,abhinikkhip,ati pr
abhinikkhipi,abhinikkhip,i aor
abhinikkhitta,abhinikkhitt,a pp
abhinikūjita,abhinikūjit,a adj
abhinīla,abhinīl,a adj
abhinīlanetta,abhinīlanett,a adj
abhinimantanatā,abhinimantanat,ā f
abhinimmadana,abhinimmadan,aṃ nt
abhinimmināti,abhinimmin,āti pr
abhinimmiṇāti,abhinimmiṇ,āti pr
abhinimmiṇi,abhinimmiṇ,i aor
abhinimmita,abhinimmit,a pp
abhininnāmesi 2,abhininnām,esi aor
abhininnāmeti 1,abhininnām,eti pr
abhininnāmeti 2,abhininnām,eti pr
abhininnāmi,abhininnām,i aor
abhinipajjati,abhinipajj,ati pr
abhinipajji,abhinipajj,i aor
abhinipajjituṃ,ind,
abhinipanna,abhinipann,a pp
abhinipāta,abhinipāt,a m
abhinipatati,abhinipat,ati pr
abhinipati,abhinipat,i aor
abhinipātī,,
abhinipphādesi,abhinipphād,esi aor
abhinipphādeti,abhinipphād,eti pr
abhinipphādita,abhinipphādit,a pp
abhinipphajjati,abhinipphajj,ati pr
abhinipphajji,abhinipphajj,i aor
abhinipphanna,abhinipphann,a pp
abhinipphatti,abhinipphatt,i f
abhinippīḷetabba,abhinippīḷetabb,a ptp
abhinippīḷeti,abhinippīḷ,eti pr
abhiniropana,abhiniropan,aṃ nt
abhiniropesi,abhinirop,esi aor
abhiniropeti,abhinirop,eti pr
abhiniropita,abhiniropit,a pp
abhinisīdati,abhinisīd,ati pr
abhinisīdi,abhinisīd,i aor
abhinisīdituṃ,ind,
abhinisinna,abhinisinn,a pp
abhinissaṭa,abhinissaṭ,a pp
abhinīta,abhinīt,a pp
abhinitana,abhinitan,aṃ nt
abhinivajjeti 1,abhinivajj,eti pr
abhinivajjeti 2,abhinivajj,eti pr
abhinivajjetvā,ind,
abhinivattati,abhinivatt,ati pr
abhinivatteti,abhinivatt,eti pr
abhinivattetvā,ind,
abhinivesa,abhinives,a m
abhinivesānusaya,abhinivesānusay,a m
abhinivisati,abhinivis,ati pr
abhinivisi,abhinivis,i aor
abhinivissa,ind,
abhiniviṭṭha,abhiniviṭṭh,a pp
abhiñña,abhiññ,a adj
abhiññā 1,abhiññ,ā f
abhiññā 2,abhiññ,ā f
abhiññā 3,ind,
abhiññāṇa,abhiññāṇ,aṃ nt
abhiññāsacchikaraṇīya,abhiññāsacchikaraṇīy,a adj
abhiññatā,abhiññat,ā f
abhiññāta 1,abhiññāt,a adj
abhiññāta 2,abhiññāt,a pp
abhiññattha,abhiññatth,a adj
abhiññāvosita,abhiññāvosit,a adj
abhiññāya,ind,
abhiññeyya,abhiññeyy,a adj
abhipālesi,abhipāl,esi aor
abhipāleti,abhipāl,eti pr
abhipālita,abhipālit,a pp
abhipassanta,abhipass,anta prp
abhipassati,abhipass,ati pr
abhipatthayati,abhipatthay,ati pr
abhipatthesi,abhipatth,esi aor
abhipattheti,abhipatth,eti pr
abhipatthita,abhipatthit,a pp
abhipīḷesi,abhipīḷ,esi aor
abhipīḷeti,abhipīḷ,eti pr
abhipīḷita,abhipīḷit,a pp
abhippakiṇṇa,abhippakiṇṇ,a pp
abhippakirati,abhippakir,ati pr
abhippamodati,abhippamod,ati pr
abhippamodayanta,abhippamoday,anta prp
abhippamodi,abhippamod,i aor
abhippamodita,abhippamodit,a pp
abhippasāda,abhippasād,a m
abhippasanna,abhippasann,a adj
abhippasāresi,abhippasār,esi aor
abhippasāreti,abhippasār,eti pr
abhippasīdati,abhippasīd,ati pr
abhippasīdi,abhippasīd,i aor
abhippavuṭṭha,abhippavuṭṭh,a pp
abhipūrati,abhipūr,ati pr
abhipūri,abhipūr,i aor
abhipūrita,abhipūrit,a pp
abhipuṭṭha,abhipuṭṭh,a pp
abhiraddha,abhiraddh,a pp
abhiraddhi,abhiraddh,i f
abhirakkhā,abhirakkh,ā f
abhirakkhana,abhirakkhan,aṃ nt
abhirakkhati,abhirakkh,ati pr
abhirakkhi,abhirakkh,i aor
abhirāma,abhirām,a adj
abhiramana,abhiraman,aṃ nt
abhiramanta,abhiram,anta prp
abhiramāpesi,abhiramāp,esi aor
abhiramāpeti,abhiramāp,eti pr
abhiramati,abhiram,ati pr
abhirami,abhiram,i aor
abhirata,abhirat,a adj
abhirati,abhirat,i f
abhiratta,abhiratt,a adj
abhiroceti,abhiroc,eti pr
abhīru,abhīr,u adj
abhiruci,abhiruc,i f
abhirucira,abhirucir,a adj
abhirucita,abhirucit,a pp
abhiruhana,abhiruhan,aṃ nt
abhirūhana,abhirūhan,aṃ nt
abhiruhanta,abhiruh,anta prp
abhiruhati,abhiruh,ati pr
abhiruḷha,abhiruḷh,a pp
abhirūhati,abhirūh,ati pr
abhiruhi,abhiruh,i aor
abhiruhitvā,ind,
abhīruka,abhīruk,a adj
abhirūḷha,abhirūḷh,a pp
abhirūpa,abhirūp,a adj
abhiruta,abhirut,a adj
abhiruyha 1,ind,
abhisaddahati,abhisaddah,ati pr
abhisaddahi,abhisaddah,i aor
abhisajjana,abhisajjan,aṃ nt
abhisajjati 1,abhisajj,ati pr
abhisajjati 2,abhisajj,ati pr
abhisajji,abhisajj,i aor
abhisallekhika,abhisallekhik,a adj
abhisamācārika,abhisamācārik,a adj
abhisamaya,abhisamay,a m
abhisambhavanta,abhisambhav,anta prp
abhisambhavati,abhisambhav,ati pr
abhisambhunāti,abhisambhun,āti pr
abhisambhuni,abhisambhun,i aor
abhisambodhi,abhisambodh,i f
abhisambuddha,abhisambuddh,a pp
abhisambudhāna,abhisambudh,āna prp
abhisambujjhati,abhisambujjh,ati pr
abhisambujjhi,abhisambujjh,i aor
abhisamecca,ind,
abhisamesi,abhisam,esi aor
abhisameta,abhisamet,a pp
abhisametāvī,abhisametāv,ī adj
abhisameti,abhisam,eti pr
abhisamita,abhisamit,a pp
abhisammati,abhisamm,ati pr
abhisammi,abhisamm,i aor
abhisamparāya,abhisamparāy,a m
abhisañcetayati,abhisañcetay,ati pr
abhisañcetayita,abhisañcetayit,aṃ nt
abhisañcetesi,abhisañcet,esi aor
abhisañceteti,abhisañcet,eti pr
abhisanda,abhisand,a m
abhisandahi,abhisandah,i aor
abhisandana,abhisandan,aṃ nt
abhisandati,abhisand,ati pr
abhisandeti,abhisand,eti pr
abhisandeti parisandeti paripūreti parippharati,ind,
abhisandi,abhisand,i aor
abhisaṅga,abhisaṅg,a m
abhisaṅkhāra,abhisaṅkhār,a m
abhisaṅkharaṇa,abhisaṅkharaṇ,aṃ nt
abhisaṅkhari,abhisaṅkhar,i aor
abhisaṅkharitvā,ind,
abhisaṅkharonta,abhisaṅkhar,onta prp
abhisaṅkharoti 1,abhisaṅkhar,oti pr
abhisaṅkharoti 2,abhisaṅkhar,oti pr
abhisaṅkhāsi,abhisaṅkh,āsi aor
abhisaṅkhata,abhisaṅkhat,a pp
abhisanna,abhisann,a pp
abhisaññānirodha,abhisaññānirodh,a m
abhisantāpetabba,abhisantāpetabb,a ptp
abhisantāpeti,abhisantāp,eti pr
abhisapa,abhisap,a m
abhisāpa,abhisāp,a m
abhisapana,abhisapan,aṃ nt
abhisapati,abhisap,ati pr
abhisapi,abhisap,i aor
abhisapita,abhisapit,a pp
abhisārikā,abhisārik,ā f
abhisaṭa,abhisaṭ,a pp
abhisatta,abhisatt,a pp
abhisecana,abhisecan,aṃ nt
abhiseceti,abhisec,eti pr
abhiseka,abhisek,a m
ābhisekika,ābhisekik,a adj
abhisiñcana,abhisiñcan,aṃ nt
abhisiñcati,abhisiñc,ati pr
abhisiñci,abhisiñc,i aor
abhisitta 1,abhisitt,a pp
abhisitta 2,abhisitt,a pp
abhissavati,abhissav,ati pr
abhīta,abhīt,a adj
abhitāḷesi,abhitāḷ,esi aor
abhitāḷeti,abhitāḷ,eti pr
abhitāḷita,abhitāḷit,a pp
abhitāpa,abhitāp,a m
abhitapati,abhitap,ati pr
abhitapi,abhitap,i aor
abhitatta,abhitatt,a pp
abhiṭhāna,abhiṭhān,aṃ nt
abhito,ind,
abhitosayanta,abhitosay,anta prp
abhitosesi,abhitos,esi aor
abhitoseti,abhitos,eti pr
abhitthanati,abhitthan,ati pr
abhitthani,abhitthan,i aor
abhitthanita,abhitthanit,a pp
abhittharati,abhitthar,ati pr
abhitthari,abhitthar,i aor
abhitthavana,abhitthavan,aṃ nt
abhitthavati,abhitthav,ati pr
abhitthavi,abhitthav,i aor
abhitthunati,abhitthun,ati pr
abhitthuni,abhitthun,i aor
abhitthuta,abhitthut,a pp
abhitudati,abhitud,ati pr
abhitudi,abhitud,i aor
abhituṇṇa,abhituṇṇ,a pp
abhivādana,abhivādan,aṃ nt
abhivādanā,abhivādan,ā f
abhivadati 1,abhivad,ati pr
abhivadati 2,abhivad,ati pr
abhivaḍḍhamāna,abhivaḍḍh,amāna prp
abhivaḍḍhana,abhivaḍḍhan,aṃ nt
abhivaḍḍhati,abhivaḍḍh,ati pr
abhivaḍḍhi,abhivaḍḍh,i aor
abhivaḍḍhita,abhivaḍḍhit,a pp
abhivādesi,abhivād,esi aor
abhivādetabba,abhivādetabb,a ptp
abhivādeti,abhivād,eti pr
abhivādetvā,ind,
abhivadi,abhivad,i aor
abhivādita,abhivādit,a pp
abhivaditabba,abhivaditabb,a ptp
abhivandati,abhivand,ati pr
abhivandi,abhivand,i aor
abhivandita,abhivandit,a pp
abhivandiya,abhivandiy,a ptp
abhivaṇṇesi,abhivaṇṇ,esi aor
abhivaṇṇeti,abhivaṇṇ,eti pr
abhivaṇṇita,abhivaṇṇit,a pp
abhivassati,abhivass,ati pr
abhivassi,abhivass,i aor
abhivaṭṭa,abhivaṭṭ,a pp
abhivaṭṭha,abhivaṭṭh,a pp
abhivāyati,abhivāy,ati pr
abhivayi,abhivay,i aor
abhivihacca,ind,
abhivijināti,abhivijin,āti pr
abhivijini,abhivijin,i aor
abhivijita,abhivijit,a pp
abhivijiya,ind,
abhivirājetvā,ind,
abhivisiṭṭha,abhivisiṭṭh,a adj
abhivitaraṇa,abhivitaraṇ,aṃ nt
abhivitaritvā,ind,
abhivuddhi,abhivuddh,i f
abhivuṭṭha,abhivuṭṭh,a pp
abhiyācana,abhiyācan,aṃ nt
abhiyācanā,abhiyācan,ā f
abhiyācati,abhiyāc,ati pr
abhiyāci,abhiyāc,i aor
abhiyācita,abhiyācit,a pp
abhiyāta,abhiyāt,a pp
abhiyāti,abhiy,āti pr
abhiyāyi,abhiyāy,i aor
abhiyoga,abhiyog,a m
abhiyogī,abhiyog,ī m
abhiyuñjana,abhiyuñjan,aṃ nt
abhiyuñjati,abhiyuñj,ati pr
abhiyuñji,abhiyuñj,i aor
abhiyutta,abhiyutt,a pp
abhoga,abhog,a adj
ābhoga,ābhog,a m
abhojaneyya,abhojaneyy,a adj
abhojja,abhojj,a adj
ābhujana,ābhujan,aṃ nt
ābhujati,ābhuj,ati pr
ābhuji,ābhuj,i aor
ābhujitvā,ind,
abhumme,ind,
abhuñji,abhuñj,i aor
abhuñjisaṃ,abhuñj,i aor irreg
abhuñjitvā,ind,
abhūta 1,abhūt,a adj
abhūta 2,abhūt,a adj
abhūta 3,abhūt,aṃ nt
abhūtakkhāna,abhūtakkhān,aṃ nt
abhūtavādī,abhūtavād,ī m
abhūtena,ind,
abhutvā,ind,
abrahmacārī,abrahmacār,ī m
abrahmacariya,abrahmacariy,aṃ nt
abrāhmaṇa,abrāhmaṇ,a m
abravi,abrav,i aor
abravuṃ,abrav,i aor
abyābajjha 1,abyābajjh,a adj
abyābajjha 2,abyābajjh,a adj
abyābajjhaparamatā,abyābajjhaparamat,ā f
abyākata,abyākat,a adj
abyāpāda,abyāpād,a m
abyāpādasaṅkappa,abyāpādasaṅkapp,a m
abyāpādavitakka,abyāpādavitakk,a m
abyāpajja 1,abyāpajj,a adj
abyāpajja 2,abyāpajj,a m
abyāpajjamāna,abyāpajjamān,a adj
abyāpajjha,abyāpajjh,aṃ nt
abyāpajjhādhimutta,abyāpajjhādhimutt,a adj
abyāpanna,abyāpann,a adj
abyāpannacitta,abyāpannacitt,a adj
abyāseka,abyāsek,a adj
abyāsekasukha,abyāsekasukh,aṃ nt
abyatta,abyatt,a adj
abyāvaṭa,abyāvaṭ,a adj
abyaya,abyay,aṃ nt
abyayībhāva,abyayībhāv,a m
abyayībhāvasamāsa,abyayībhāvasamās,a m
acakkhuka,acakkhuk,a adj
acakkhukaraṇa,acakkhukaraṇ,a adj
acakkhussa,acakkhuss,a adj
acala,acal,a adj
acalasaddhā,acalasaddh,ā f
ācāma,ācām,a m
ācamana,ācaman,aṃ nt
ācamanakumbhī,ācamanakumbh,ī f
ācamesi,ācam,esi aor
ācameti,ācam,eti pr
acapala,acapal,a adj
ācāra,ācār,a m
ācāragocarasampanna,ācāragocarasampann,a adj
ācārakusala,ācārakusal,a adj
ācarati,ācar,ati pr
acāri,acār,i aor
acari 1,acar,i aor
acari 2,acar,i aor
acarimaṃ,ind,
acaritvā,ind,
ācariya 1,ācariy,a m
ācariya 2,ācariy,a m
ācariyabhariyā,ācariyabhariy,ā f
ācariyadhana,ācariyadhan,aṃ nt
ācariyaka 1,ācariyak,a adj
ācariyaka 2,ācariyak,a m
ācariyakula,ācariyakul,aṃ nt
ācariyalesa,ācariyales,a m
ācariyamaha,ācariyamah,a m
ācariyamuṭṭhi,ācariyamuṭṭh,i f
ācariyānī,ācariyān,ī f
ācariyavāda,ācariyavād,a m
acava,acav,a adj
acavana,acavan,a adj
acavanadhamma,acavanadhamm,a adj
ācaya,ācay,a m
ācayāpacaya,ācayāpacay,a m
acca,ind,
accādhāya,ind,
accagā,accag,ā imperf
accagamā,accagam,ā imperf
accanā,accan,ā f
accanta 1,accant,a adj
accanta 2,accant,a adj
accantadussīlya,accantadussīly,aṃ nt
accantaṃ,ind,
accāraddha,accāraddh,a adj
accāraddhavīriya,accāraddhavīriy,aṃ nt
accaruci,accaruc,i aor
accāsanna,accāsann,a adj
accasarā,accasar,ā imperf
accasārī,accasār,ī adj
accatari,accatar,i aor
accaya 1,accay,a m
accaya 2,accay,a m
accaya 3,accay,a m
accayaṃ accayato deseti,ind,
accayaṃ accayato disvā,ind,
accayāsi,accay,āsi aor
accāyata,accāyat,a adj
accayati 1,accay,ati pr
accayati 2,accay,ati pr
accayena 1,ind,
accayena 2,ind,
accāyika,accāyik,a adj
accayo accagamā,ind,
acceka,accek,a adj
accekacīvara,accekacīvar,aṃ nt
accesi 1,acc,esi aor
accesi 2,acc,esi aor
acceti 1,acc,eti pr
acceti 2,acc,eti pr
accha 1,acch,a adj
accha 2,acch,a m
acchādana,acchādan,aṃ nt
acchādanā,,
acchādesi 1,acchād,esi aor
acchādesi 2,acchād,esi aor
acchādeti 1,acchād,eti pr
acchādeti 2,acchād,eti pr
acchādetukāma,acchādetukām,a adj
acchādetuṃ,ind,
acchādetvā,ind,
acchādita,acchādit,a pp
acchambhī,acchambh,ī adj
accharā 1,acchar,ā f
accharā 2,acchar,ā f
accharā 3,acchar,ā f
accharaṃ paharati,ind,
accharāsadda,accharāsadd,a m
accharāsaṇghāta,accharāsaṇghāt,a m
acchariya 1,acchariy,a adj
acchariya 2,acchariy,aṃ nt
