adjectives,,,,,,,,,,,,,,cardinal numbers,,,,,,,,,,,,,,pronouns,,,,,,,,,,,,,,participles,,,,,,,,,,,,,,masculine nouns,,,,,,,,,,,,feminine nouns,,,,,,neuter nouns,,,,,,verbs,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voc,ī,m.voc.sg,ino,m.voc.pl,inī,f.voc.sg,iniyo,f.voc.pl,"i
iṃ",nt.voc.sg,"ini
ī",nt.voc.pl,,catu card,masc pl,,fem pl,,neut pl,,,,,,,,,tvaṃ pron,masc sg,,masc pl,,,tumha pron,masc sg,,masc pl,,,,,voc,"amāna
amānā",m.voc.sg,amānā,m.voc.pl,amāne,f.voc.sg,"amānā
amānāyo",f.voc.pl,"amāna
amānā",nt.voc.sg,amānāni,nt.voc.pl,,voc,i,m.voc.sg,"ī
ayo",m.voc.pl,,,,,,,,voc,"i
ī",f.voc.sg,"ī
iyo",f.voc.pl,,voc,i,nt.voc.sg,"ī
īni",nt.voc.pl,,pr 2nd,āsi,pr.2.sg,ātha,pr.2.pl,,pr.reflx.2.sg,,pr.reflx.2.pl,
in comps,ī,,,,,,,,,,,,,nom,"cattāro
caturo",m.nom.pl,catasso,f.nom.pl,cattāri,nt.nom.pl,,,,,,,,nom,"tvaṃ
tuvaṃ",2.nom.sg,tumhe,2.nom.pl,,nom,"tvaṃ
tuvaṃ",2.nom.sg,tumhe,2.nom.pl,,,,,,,,,,,,,,,,,,in comps,"i
ī",,,,,,,,,,,in comps,"i
ī",,,,,in comps,i,,,,,pr 1st,āmi,pr.1.sg,āma,pr.1.pl,,pr.reflx.1.sg,,pr.reflx.1.pl,
,,,,,,,,,,,,,,acc,"cattāro
caturo",m.acc.pl,catasso,f.acc.pl,cattāri,nt.acc.pl,,,,,,,,acc,"taṃ
tuvaṃ
tavaṃ",2.acc.sg,"tumhe
tumhākaṃ
vo",2.acc.pl,,acc,"taṃ
tuvaṃ
tavaṃ",2.acc.sg,"tumhe
tumhākaṃ
vo",2.acc.pl,,,,"enta prp
",masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,,,,,,,,,,,,,,,,,,,,,,,,,imp 3rd,ātu,imp.3.sg,antu,imp.3.pl,,imp.reflx.3.sg,,imp.reflx.3.pl,
ant adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,instr,catūhi,m.instr.pl,catūhi,f.instr.pl,catūhi,nt.instr.pl,,,,,,,,instr,"tayā
te",2.instr.sg,"tumhehi
vo",2.instr.pl,,instr,"tayā
te",2.instr.sg,"tumhehi
vo",2.instr.pl,,,,nom,ento,m.nom.sg,"ento
antā",m.nom.pl,entī,f.nom.sg,"entī
antiyo",f.nom.pl,eṃ,nt.nom.sg,"entā
entāni",nt.nom.pl,,u masc 1,masc sg,,masc pl,,,,,,,,,u1 f,fem sg,,fem pl,,,kamma nt,neut sg,,neut pl,,,imp 2nd,"āhi
",imp.2.sg,ātha,imp.2.pl,,imp.reflx.2.sg,,imp.reflx.2.pl,
nom,"ā
anto",m.nom.sg,"ā
anto
antā",m.nom.pl,atī,f.nom.sg,"atī
atiyo",f.nom.pl,"aṃ
antaṃ",nt.nom.sg,"antāni
antā
anti",nt.nom.pl,,dat,catunnaṃ,m.dat.pl,catassannaṃ,f.dat.pl,catunnaṃ,nt.dat.pl,,,,,,,,dat,"tava
tuyhaṃ
te",2.dat.sg,"tumhaṃ
tumhākaṃ
vo",2.dat.pl,,dat,"tava
tuyhaṃ
te",2.dat.sg,"tumhaṃ
tumhākaṃ
vo",2.dat.pl,,,,acc,entaṃ,m.acc.sg,ente,m.acc.pl,entiṃ,f.acc.sg,"entī
antiyo",f.acc.pl,entaṃ,nt.acc.sg,"ente
entāni",nt.acc.pl,,nom,u,m.nom.sg,"ū
avo",m.nom.pl,,,,,,,,nom,u,f.nom.sg,"ū
uyo",f.nom.pl,,nom,"kamma
kammaṃ",nt.nom.sg,"kammāni
kammā",nt.nom.pl,,imp 1st,āmi,imp.1.sg,āma,imp.1.pl,,imp.reflx.1.sg,,imp.reflx.1.pl,
acc,antaṃ,m.acc.sg,ante,m.acc.pl,atiṃ,f.acc.sg,"atī
atiyo",f.acc.pl,antaṃ,nt.acc.sg,"antāni
ante
anti",nt.acc.pl,,abl,catūhi,m.abl.pl,catūhi,f.abl.pl,catūhi,nt.abl.pl,,,,,,,,abl,"tvāya
tayā",2.abl.sg,tumhehi,2.abl.pl,,abl,"tvāya
tayā",2.abl.sg,tumhehi,2.abl.pl,,,,instr,"etā
entena",m.instr.sg,entehi,m.instr.pl,entiyā,f.instr.sg,entīhi,f.instr.pl,"etā
entena",nt.instr.sg,entehi,nt.instr.pl,,acc,"uṃ
unaṃ",m.acc.sg,"ū
avo",m.acc.pl,,,,,,,,acc,uṃ,f.acc.sg,"ū
uyo",f.acc.pl,,acc,"kamma
kammaṃ",nt.acc.sg,"kammāni
kamme",nt.acc.pl,,opt 3rd,"eyya
e",opt.3.sg,eyyuṃ,opt.3.pl,etha,opt.reflx.3.sg,eraṃ,opt.reflx.3.pl,
instr,"atā
antena",m.instr.sg,antehi,m.instr.pl,atiyā,f.instr.sg,atīhi,f.instr.pl,"atā
antena",nt.instr.sg,antehi,nt.instr.pl,,gen,catunnaṃ,m.gen.pl,catassannaṃ,f.gen.pl,catunnaṃ,nt.gen.pl,,,,,,,,gen,"tava
tuyhaṃ
te",2.gen.sg,"tumhaṃ
tumhākaṃ
vo",2.gen.pl,,gen,"tava
tuyhaṃ
te",2.gen.sg,"tumhaṃ
tumhākaṃ
vo",2.gen.pl,,,,dat,entassa,m.dat.sg,"etaṃ
antānaṃ",m.dat.pl,entiyā,f.dat.sg,entīnaṃ,f.dat.pl,entassa,nt.dat.sg,"etaṃ
antānaṃ",nt.dat.pl,,instr,unā,m.instr.sg,ūhi,m.instr.pl,,,,,,,,instr,uyā,f.instr.sg,ūhi,f.instr.pl,,instr,"kammena
kammunā
kammanā",nt.instr.sg,kammehi,nt.instr.pl,,opt 2nd,"eyyāsi
e",opt.2.sg,"eyyātha
etha",opt.2.pl,etho,opt.reflx.2.sg,"eyyavho
eyyāvho",opt.reflx.2.pl,
dat,"ato
antassa",m.dat.sg,"ataṃ
antānaṃ",m.dat.pl,atiyā,f.dat.sg,atīnaṃ,f.dat.pl,"ato
antassa",nt.dat.sg,"ataṃ
antānaṃ",nt.dat.pl,,loc,"catusu
catūsu",m.loc.pl,"catusu
catūsu",f.loc.pl,"catusu
catūsu",nt.loc.pl,,,,,,,,loc,"tvāyi
tayi",2.loc.sg,tumhesu,2.loc.pl,,loc,"tvāyi
tayi",2.loc.sg,tumhesu,2.loc.pl,,,,abl,"etā
entamhā
entasmā",m.abl.sg,entehi,m.abl.pl,entiyā,f.abl.sg,entīhi,f.abl.pl,"etā
entamhā
entasmā",nt.abl.sg,entehi,nt.abl.pl,,dat,"uno
ussa",m.dat.sg,"ūnaṃ
unaṃ",m.dat.pl,,,,,,,,dat,uyā,f.dat.sg,ūnaṃ,f.dat.pl,,dat,"kammassa
kammuno",nt.dat.sg,kammānaṃ,nt.dat.pl,,opt 1st,"eyyāmi
e",opt.1.sg,"eyyāma
ema
emu",opt.1.pl,eyyaṃ,opt.reflx.1.sg,eyyāmhe,opt.reflx.1.pl,
abl,"atā
antā
antasmā
antamhā",m.abl.sg,antehi,m.abl.pl,atiyā,f.abl.sg,atīhi,f.abl.pl,"atā
antā
antasmā
antamhā",nt.abl.sg,antehi,nt.abl.pl,,in comps,catur,,,,,,,,,,,,,in comps,,,,,,in comps,,,,,,,,gen,entassa,m.gen.sg,"etaṃ
antānaṃ",m.gen.pl,entiyā,f.gen.sg,entīnaṃ,f.gen.pl,entassa,nt.gen.sg,"etaṃ
antānaṃ",nt.gen.pl,,abl,"unā
umhā
usmā",m.abl.sg,ūhi,m.abl.pl,,,,,,,,abl,uyā,f.abl.sg,ūhi,f.abl.pl,,abl,"kammasmā
kammamhā
kammunā",nt.abl.sg,kammehi,nt.abl.pl,,fut 3rd,issati,fut.3.sg,issanti,fut.3.pl,issate,fut.reflx.3.sg,issante,fut.reflx.3.pl,
gen,"ato
antassa",m.gen.sg,"ataṃ
antānaṃ",m.gen.pl,atiyā,f.gen.sg,atīnaṃ,f.gen.pl,"ato
antassa",nt.gen.sg,"ataṃ
antānaṃ",nt.gen.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"eti
ente
entamhi
entasmiṃ",m.loc.sg,entesu,m.loc.pl,"entiyā
antiyaṃ",f.loc.sg,entīsu,f.loc.pl,"eti
ante
antamhi
antasmiṃ",nt.loc.sg,entesu,nt.loc.pl,,gen,"uno
ussa",m.gen.sg,"ūnaṃ
unaṃ",m.gen.pl,,,,,,,,gen,uyā,f.gen.sg,ūnaṃ,f.gen.pl,,gen,"kammassa
kammuno",nt.gen.sg,kammānaṃ,nt.gen.pl,,fut 2nd,issasi,fut.2.sg,issatha,fut.2.pl,issase,fut.reflx.2.sg,issavhe,fut.reflx.2.pl,
loc,"ati
ante
antasmiṃ
antamhi",m.loc.sg,antesu,m.loc.pl,"atiyā
atiyaṃ",f.loc.sg,atīsu,f.loc.pl,"ati
ante
antasmiṃ
antamhi",nt.loc.sg,antesu,nt.loc.pl,,ti card,masc pl,,fem pl,,neut pl,,,,,,,,,ima pron,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,voc,"a
ā",m.voc.sg,"ento
entā",m.voc.pl,"enti
entī",f.voc.sg,"entī
entiyo",f.voc.pl,"a
ā",nt.voc.sg,"ento
entā",nt.voc.pl,,loc,"umhi
usmiṃ",m.loc.sg,ūsu,m.loc.pl,,,,,,,,loc,"uyā
uyaṃ",f.loc.sg,"usu
ūsu",f.loc.pl,,loc,"kamme
kammasmiṃ
kammamhi
kammani",nt.loc.sg,kammesu,nt.loc.pl,,fut 1st,issāmi,fut.1.sg,issāma,fut.1.pl,issaṃ,fut.reflx.1.sg,issāmhe,fut.reflx.1.pl,
voc,"aṃ
a
ā",m.voc.sg,"anto
antā",m.voc.pl,atiatī,f.voc.sg,atīatiyo,f.voc.pl,a,nt.voc.sg,"antāni
anti",nt.voc.pl,,nom,tayo,m.nom.pl,tisso,f.nom.pl,"tīni
tīṇi",nt.nom.pl,,,,,,,,nom,ayaṃ,m.nom.sg,ime,m.nom.pl,ayaṃ,f.nom.sg,"imā
imāyo",f.nom.pl,"idaṃ
imaṃ",nt.nom.sg,"ime
imāni",nt.nom.pl,,,,,,,,,,,,,,,,voc,u,m.voc.sg,"ū
avo
ave",m.voc.pl,,,,,,,,voc,u,f.voc.sg,"ū
uyo",f.voc.pl,,voc,kamma,nt.voc.sg,"kammāni
kammā",nt.voc.pl,,,,,,,,,,,
in comps,"a
ā",,,,,,,,,,,,,acc,tayo,m.acc.pl,tisso,f.acc.pl,tīni,nt.acc.pl,,,,,,,,acc,imaṃ,m.acc.sg,ime,m.acc.pl,imaṃ,f.acc.sg,"imā
imāyo",f.acc.pl,"idaṃ
imaṃ",nt.acc.sg,"ime
imāni",nt.acc.pl,,"āna prp
",masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,in comps,u,,,,,,,,,,,in comps,u,,,,,in comps,kamma,,,,,oti pr,sg,,pl,,relfx sg,,relfx pl,,
,,,,,,,,,,,,,,instr,tīhi,m.instr.pl,tīhi,f.instr.pl,tīhi,nt.instr.pl,,,,,,,,instr,"anena
iminā",m.instr.sg,"ehi
imehi",m.instr.pl,imāya,f.instr.sg,imāhi,f.instr.pl,"anena
iminā",nt.instr.sg,"ehi
imehi",nt.instr.pl,,nom,āno,m.nom.sg,ānā,m.nom.pl,ānā,f.nom.sg,"ānā
ānāyo",f.nom.pl,ānaṃ,nt.nom.sg,"ānā
ānāni",nt.nom.pl,,,,,,,,,,,,,,,,,,,,,,,,,,pr 3rd,oti,pr.3.sg,onti,pr.3.pl,,pr.reflx.3.sg,,pr.reflx.3.pl,
antu adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,dat,"tiṇṇaṃ
tiṇṇannaṃ",m.dat.pl,tissannaṃ,f.dat.pl,"tiṇṇaṃ
tiṇṇannaṃ",nt.dat.pl,,,,,,,,dat,"assa
imassa",m.dat.sg,"esaṃ
esānaṃ
imesaṃ
imesānaṃ",m.dat.pl,"assāya
assā
imassāya
imissā
imāya",f.dat.sg,"āsaṃ
āsānaṃ
imāsaṃ
imāsānaṃ",f.dat.pl,"assa
imassa",nt.dat.sg,"esaṃ
esānaṃ
imesaṃ
imesānaṃ",nt.dat.pl,,acc,ānaṃ,m.acc.sg,āne,m.acc.pl,ānaṃ,f.acc.sg,"ānā
ānāyo",f.acc.pl,ānaṃ,nt.acc.sg,"ānā
ānāni",nt.acc.pl,,u masc 2,masc sg,,masc pl,,,ar masc 1,masc sg,,masc pl,,,ar f,fem sg,,fem pl,,,u nt,neut sg,,neut pl,,,pr 2nd,osi,pr.2.sg,otha,pr.2.pl,,pr.reflx.2.sg,,pr.reflx.2.pl,
nom,"ā
anto",m.nom.sg,"ā
anto
antā",m.nom.pl,atī,f.nom.sg,"atī
atiyo",f.nom.pl,"aṃ
antaṃ",nt.nom.sg,"antāni
antā
anti",nt.nom.pl,,abl,tīhi,m.abl.pl,tīhi,f.abl.pl,tīhi,nt.abl.pl,,,,,,,,abl,"asmā
amhā
imamhā
imasmā",m.abl.sg,"ehi
imehi",m.abl.pl,imāya,f.abl.sg,imāhi,f.abl.pl,"asmā
amhā
imamhā
imasmā",nt.abl.sg,"ehi
imehi",nt.abl.pl,,instr,ānena,m.instr.sg,ānehi,m.instr.pl,ānāya,f.instr.sg,ānāhi,f.instr.pl,ānena,nt.instr.sg,ānehi,nt.instr.pl,,nom,ā,m.nom.sg,āro,m.nom.pl,,nom,ā,m.nom.sg,āro,m.nom.pl,,nom,ā,f.nom.sg,aro,f.nom.pl,,nom,u,nt.nom.sg,"ū
ūni",nt.nom.pl,,pr 1st,omi,pr.1.sg,oma,pr.1.pl,,pr.reflx.1.sg,,pr.reflx.1.pl,
acc,antaṃ,m.acc.sg,ante,m.acc.pl,atiṃ,f.acc.sg,"atī
atiyo",f.acc.pl,antaṃ,nt.acc.sg,"antāni
ante
anti",nt.acc.pl,,gen,"tiṇṇaṃ
tiṇṇannaṃ",m.gen.pl,tissannaṃ,f.gen.pl,"tiṇṇaṃ
tiṇṇannaṃ",nt.gen.pl,,,,,,,,gen,"assa
imassa",m.gen.sg,"esaṃ
esānaṃ
imesaṃ
imesānaṃ",m.gen.pl,"assāya
assā
imassāya
imissā
imāya",f.gen.sg,"āsaṃ
āsānaṃ
imāsaṃ
imāsānaṃ",f.gen.pl,"assa
imassa",nt.gen.sg,"esaṃ
esānaṃ
imesaṃ
imesānaṃ",nt.gen.pl,,dat,"ānāya
ānassa",m.dat.sg,ānānaṃ,m.dat.pl,ānāya,f.dat.sg,ānānaṃ,f.dat.pl,"ānāya
ānassa",nt.dat.sg,ānānaṃ,nt.dat.pl,,acc,āraṃ,m.acc.sg,"āre
āro",m.acc.pl,,acc,āraṃ,m.acc.sg,"āre
āro",m.acc.pl,,acc,araṃ,f.acc.sg,"are
aro",f.acc.pl,,acc,uṃ,nt.acc.sg,"ū
ūni",nt.acc.pl,,imp 3rd,otu,imp.3.sg,ontu,imp.3.pl,,imp.reflx.3.sg,,imp.reflx.3.pl,
instr,"atā
antena",m.instr.sg,antehi,m.instr.pl,atiyā,f.instr.sg,atīhi,f.instr.pl,"atā
antena",nt.instr.sg,antehi,nt.instr.pl,,loc,tīsu,m.loc.pl,tīsu,f.loc.pl,tīsu,nt.loc.pl,,,,,,,,loc,"amhi
asmiṃ
imamhi
imasmiṃ",m.loc.sg,"esu
imesu",m.loc.pl,"assaṃ
imissaṃ
imāyaṃ",f.loc.sg,imāsu,f.loc.pl,"amhi
asmiṃ
imamhi
imasmiṃ",nt.loc.sg,"esu
imesu",nt.loc.pl,,abl,"ānā
ānamhā
ānasmā",m.abl.sg,ānehi,m.abl.pl,ānāya,f.abl.sg,ānāhi,f.abl.pl,"ānā
ānamhā
ānasmā",nt.abl.sg,ānehi,nt.abl.pl,,instr,"ārā
unā",m.instr.sg,ārehi,m.instr.pl,,instr,"ārā
unā",m.instr.sg,ārehi,m.instr.pl,,instr,"u
arā
uyā
matyā",f.instr.sg,"ūhi
arehi",f.instr.pl,,instr,"unā
usā",nt.instr.sg,ūhi,nt.instr.pl,,imp 2nd,ohi,imp.2.sg,otha,imp.2.pl,,imp.reflx.2.sg,,imp.reflx.2.pl,
dat,"ato
antassa",m.dat.sg,"ataṃ
antānaṃ",m.dat.pl,atiyā,f.dat.sg,atīnaṃ,f.dat.pl,"ato
antassa",nt.dat.sg,"ataṃ
antānaṃ",nt.dat.pl,,in comps,ti,,,,,,,,,,,,,in comps,,,,,,,,,,,,,,gen,ānassa,m.gen.sg,ānānaṃ,m.gen.pl,ānāya,f.gen.sg,ānānaṃ,f.gen.pl,ānassa,nt.gen.sg,ānānaṃ,nt.gen.pl,,dat,"u
uno
ussa",m.dat.sg,"ārānaṃ
ānaṃ",m.dat.pl,,dat,"u
uno
ussa",m.dat.sg,"ārānaṃ
ānaṃ",m.dat.pl,,dat,"uyā
u
matyā",f.dat.sg,"arānaṃ
ānaṃ
ūnaṃ",f.dat.pl,,dat,"uno
ussa",nt.dat.sg,ūnaṃ,nt.dat.pl,,imp 1st,omi,imp.1.sg,oma,imp.1.pl,,imp.reflx.1.sg,,imp.reflx.1.pl,
abl,"atā
antā
antasmā
antamhā",m.abl.sg,antehi,m.abl.pl,atiyā,f.abl.sg,atīhi,f.abl.pl,"atā
antā
antasmā
antamhā",nt.abl.sg,antehi,nt.abl.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"āne
ānamhi
ānasmiṃ",m.loc.sg,ānesu,m.loc.pl,"ānāyaṃ
ānāya",f.loc.sg,ānāsu,f.loc.pl,"āne
ānamhi
ānasmiṃ",nt.loc.sg,ānesu,nt.loc.pl,,abl,ārā,m.abl.sg,ārehi,m.abl.pl,,abl,ārā,m.abl.sg,ārehi,m.abl.pl,,abl,"arā
uyā
matyā",f.abl.sg,"ūhi
arehi",f.abl.pl,,abl,"unā
umhā
usmā",nt.abl.sg,ūhi,nt.abl.pl,,opt 3rd,"eyya
e",opt.3.sg,eyyuṃ,opt.3.pl,etha,opt.reflx.3.sg,eraṃ,opt.reflx.3.pl,
gen,"ato
antassa",m.gen.sg,"ataṃ
antānaṃ",m.gen.pl,atiyā,f.gen.sg,atīnaṃ,f.gen.pl,"ato
antassa",nt.gen.sg,"ataṃ
antānaṃ",nt.gen.pl,,a card,neut sg,,neut pl,,,,,,,,,,,kaci pron,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,voc,"āna
ānā",m.voc.sg,ānā,m.voc.pl,āne,f.voc.sg,"ānā
ānāyo",f.voc.pl,"āna
ānā",nt.voc.sg,ānāni,nt.voc.pl,,gen,"u
uno
ussa",m.gen.sg,"ārānaṃ
ānaṃ",m.gen.pl,,gen,"u
uno
ussa",m.gen.sg,"ārānaṃ
ānaṃ",m.gen.pl,,gen,"uyā
u
matyā",f.gen.sg,"arānaṃ
ānaṃ
ūnaṃ",f.gen.pl,,gen,"uno
ussa",nt.gen.sg,ūnaṃ,nt.gen.pl,,opt 2nd,"eyyāsi
e",opt.2.sg,"eyyātha
etha",opt.2.pl,etho,opt.reflx.2.sg,"eyyavho
eyyāvho",opt.reflx.2.pl,
loc,"ati
ante
antasmiṃ
antamhi",m.loc.sg,antesu,m.loc.pl,"atiyā
atiyaṃ",f.loc.sg,atīsu,f.loc.pl,"ati
ante
antasmiṃ
antamhi",nt.loc.sg,antesu,nt.loc.pl,,nom,aṃ,nt.nom.sg,"ā
āni",nt.nom.pl,,,,,,,,,,nom,koci,m.nom.sg,"keci
kecana",m.nom.pl,kāci,f.nom.sg,kāci,f.nom.pl,kiñci,nt.nom.sg,kānici,nt.nom.pl,,,,,,,,,,,,,,,,loc,ari,m.loc.sg,āresu,m.loc.pl,,loc,ari,m.loc.sg,āresu,m.loc.pl,,loc,"ari
uyā
uyaṃ
matyā
matyaṃ",f.loc.sg,aresu,f.loc.pl,,loc,"umhi
usmiṃ",nt.loc.sg,ūsu,nt.loc.pl,,opt 1st,"eyyāmi
eyyaṃ
e",opt.1.sg,"eyyāma
ema
emu",opt.1.pl,eyyaṃ,opt.reflx.1.sg,eyyāmhe,opt.reflx.1.pl,
voc,"aṃ
a
ā",m.voc.sg,"anto
antā",m.voc.pl,atiatī,f.voc.sg,atīatiyo,f.voc.pl,a,nt.voc.sg,"antāni
anti",nt.voc.pl,,acc,aṃ,nt.acc.sg,"e
āni",nt.acc.pl,,,,,,,,,,acc,"kañci
kiñci
kiñcanaṃ",m.acc.sg,"keci
kecana",m.acc.pl,kañci,f.acc.sg,kāci,f.acc.pl,kiñci,nt.acc.sg,kānici,nt.acc.pl,,onta prp,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,voc,"a
ā",m.voc.sg,āro,m.voc.pl,,voc,"a
ā",m.voc.sg,āro,m.voc.pl,,voc,"a
ā
e",f.voc.sg,"ā
aro",f.voc.pl,,voc,u,nt.voc.sg,"ū
ūni",nt.voc.pl,,fut 3rd,issati,fut.3.sg,issanti,fut.3.pl,issate,fut.reflx.3.sg,issante,fut.reflx.3.pl,
in comps,"a
ā",,,,,,,,,,,,,instr,ena,nt.instr.sg,ehi,nt.instr.pl,,,,,,,,,,instr,kenaci,m.instr.sg,kehici,m.instr.pl,kāyaci,f.instr.sg,kāhici,f.instr.pl,kenaci,nt.instr.sg,kehici,nt.instr.pl,,nom,"aṃ
onto",m.nom.sg,"onto
antā",m.nom.pl,ontī,f.nom.sg,"ontī
ontiyo",f.nom.pl,aṃ,nt.nom.sg,"ontā
ontāni",nt.nom.pl,,in comps,u,,,,,in comps,u,,,,,in comps,ā,,,,,in comps,u,,,,,fut 2nd,issasi,fut.2.sg,issatha,fut.2.pl,issase,fut.reflx.2.sg,issavhe,fut.reflx.2.pl,
,,,,,,,,,,,,,,dat,"āya
assa",nt.dat.sg,ānaṃ,nt.dat.pl,,,,,,,,,,dat,kassaci,m.dat.sg,kesañci,m.dat.pl,"kāyaci
kassāci",f.dat.sg,kāsañci,f.dat.pl,kassaci,nt.dat.sg,kesañci,nt.dat.pl,,acc,ontaṃ,m.acc.sg,onte,m.acc.pl,ontiṃ,f.acc.sg,"ontī
ontiyo",f.acc.pl,ontaṃ,nt.acc.sg,"onte
ontāni",nt.acc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,fut 1st,issāmi,fut.1.sg,issāma,fut.1.pl,issaṃ,fut.reflx.1.sg,issāmhe,fut.reflx.1.pl,
u adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,abl,"āamhā
asmā",nt.abl.sg,ehi,nt.abl.pl,,,,,,,,,,abl,,m.abl.sg,kehici,m.abl.pl,kāyaci,f.abl.sg,kāhici,f.abl.pl,,nt.abl.sg,kehici,nt.abl.pl,,instr,"otā
ontena",m.instr.sg,ontehi,m.instr.pl,ontiyā,f.instr.sg,ontīhi,f.instr.pl,"otā
ontena",nt.instr.sg,ontehi,nt.instr.pl,,a masc pl,masc pl,,,,,,,,,,,nadī f,fem sg,,fem pl,,,u nt,neut sg,,neut pl,,,,,,,,,,,,
nom,u,m.nom.sg,"ū
avo",m.nom.pl,u,f.nom.sg,"ū
uyo",f.nom.pl,u,nt.nom.sg,"ū
ūni",nt.nom.pl,,gen,assa,nt.gen.sg,ānaṃ,nt.gen.pl,,,,,,,,,,gen,kassaci,m.gen.sg,kesañci,m.gen.pl,"kāyaci
kassāci",f.gen.sg,kāsañci,f.gen.pl,kassaci,nt.gen.sg,kesañci,nt.gen.pl,,dat,"oto
ontassa",m.dat.sg,"otaṃ
ontānaṃ",m.dat.pl,ontiyā,f.dat.sg,ontīnaṃ,f.dat.pl,"oto
ontassa",nt.dat.sg,"otaṃ
ontānaṃ",nt.dat.pl,,nom,ā,m.nom.pl,,,,,,,,,,nom,nadī,f.nom.sg,"nadī
nadiyo
najjo
najjāyo",f.nom.pl,,nom,u,nt.nom.sg,"ū
ūni",nt.nom.pl,,i aor,sg,,pl,,relfx sg,,relfx pl,,
acc,uṃ,m.acc.sg,"ū
avo",m.acc.pl,uṃ,f.acc.sg,"ū
uyo",f.acc.pl,uṃ,nt.acc.sg,"ū
ūni",nt.acc.pl,,loc,"e
amhi
asmiṃ",nt.loc.sg,esu,nt.loc.pl,,,,,,,,,,loc,"kasmiñci
kismici
kismiñci",m.loc.sg,kesuci,m.loc.pl,kāyaci,f.loc.sg,kāsuci,f.loc.pl,"kasmiñci
kismici
kismiñci",nt.loc.sg,kesuci,nt.loc.pl,,abl,"otā
ontamhā
ontasmā",m.abl.sg,ontehi,m.abl.pl,ontiyā,f.abl.sg,ontīhi,f.abl.pl,"otā
ontamhā
ontasmā",nt.abl.sg,ontehi,nt.abl.pl,,acc,e,m.acc.pl,,,,,,,,,,acc,"nadiṃ
nadiyaṃ
najjaṃ",f.acc.sg,"nadī
nadiyo
najjo
najjāyo",f.acc.pl,,acc,uṃ,nt.acc.sg,"ū
ūni",nt.acc.pl,,aor 3rd,"i
ī",aor.3.sg,"iṃsu
uṃ",,ā,,ū,,
instr,unā,m.instr.sg,ūhi,m.instr.pl,uyā,f.instr.sg,ūhi,f.instr.pl,unā,nt.instr.sg,ūhi,nt.instr.pl,,in comps,a,,,,,,,,,,,,,in comps,,,,,,,,,,,,,,gen,"oto
ontassa",m.gen.sg,"otaṃ
ontānaṃ",m.gen.pl,ontiyā,f.gen.sg,ontīnaṃ,f.gen.pl,"oto
ontassa",nt.gen.sg,"otaṃ
ontānaṃ",nt.gen.pl,,instr,"ehi
ebhi",m.instr.pl,,,,,,,,,,instr,"nadiyā
najjā",f.instr.sg,nadīhi,f.instr.pl,,instr,"unā
usā",nt.instr.sg,ūhi,nt.instr.pl,,aor 2nd,"i
o",aor.2.sg,ittha,,ise,,ivhaṃ,,
dat,"uno
ussa",m.dat.sg,"ūnaṃ
unnaṃ",m.dat.pl,uyā,f.dat.sg,ūnaṃ,f.dat.pl,"uno
ussa",nt.dat.sg,ūnaṃ,nt.dat.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"onte
ontamhi
ontasmiṃ",m.loc.sg,ontesu,m.loc.pl,"ontiyā
ontiyaṃ",f.loc.sg,ontīsu,f.loc.pl,"onte
ontamhi
ontasmiṃ",nt.loc.sg,ontesu,nt.loc.pl,,dat,ānaṃ,m.dat.pl,,,,,,,,,,dat,"nadiyā
najjā",f.dat.sg,nadīnaṃ,f.dat.pl,,dat,"uno
ussa",nt.dat.sg,ūnaṃ,nt.dat.pl,,aor 1st,iṃ,aor.1.sg,"imha
imhā",,"aṃ
a",,imhe,,
abl,"unā
umhā
usmā",m.abl.sg,ūhi,m.abl.pl,uyā,f.abl.sg,ūhi,f.abl.pl,"unā
umhā
usmā",nt.abl.sg,ūhi,nt.abl.pl,,dvi card,x pl,,,,,,,,,,,,,amu pron,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,voc,onta,m.voc.sg,ontā,m.voc.pl,"onti
ontī",f.voc.sg,"ontī
ontiyo",f.voc.pl,onta,nt.voc.sg,ontāni,nt.voc.pl,,abl,"ehi
ebhi",m.abl.pl,,,,,,,,,,abl,"nadiyā
najjā",f.abl.sg,nadīhi,f.abl.pl,,abl,"unā
umhā
usmā",nt.abl.sg,ūhi,nt.abl.pl,,,,,,,,,,,
