adjectives,,,,,,,,,,,,,,cardinal numbers,,,,,,,,,,,,,,pronouns,,,,,,,,,,,,,,participles,,,,,,,,,,,,,,masculine nouns,,,,,,,,,,,,feminine nouns,,,,,,neuter nouns,,,,,,verbs,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,eka card,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,a pron,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,present participle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 3rd,issati,fut.3.sg,issanti,fut.3.pl,issate,fut.reflx.3.sg,issante,fut.reflx.3.pl,
ī adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,nom,eko,m.nom.sg,eke,m.nom.pl,ekā,f.nom.sg,ekā,f.nom.pl,ekaṃ,nt.nom.sg,ekāni,nt.nom.pl,,nom,o,m.nom.sg,e,m.nom.pl,ā,f.nom.sg,"ā
āyo",f.nom.pl,aṃ,nt.nom.sg,"e
āni",nt.nom.pl,,,,,,,,,,,,,,,,ī masc,masc sg,,masc pl,,,,,,,,,i f,fem sg,,fem pl,,,uṃ nt,neut sg,,neut pl,,,fut 2nd,issasi,fut.2.sg,issatha,fut.2.pl,issase,fut.reflx.2.sg,issavhe,fut.reflx.2.pl,
nom,ī,m.nom.sg,"ī
ino",m.nom.pl,inī,f.nom.sg,iniyo,f.nom.pl,"i
iṃ",nt.nom.sg,"ini
ī",nt.nom.pl,,acc,ekaṃ,m.acc.sg,eke,m.acc.pl,ekaṃ,f.acc.sg,ekā,f.acc.pl,ekaṃ,nt.acc.sg,ekāni,nt.acc.pl,,acc,aṃ,m.acc.sg,e,m.acc.pl,aṃ,f.acc.sg,"ā
āyo",f.acc.pl,aṃ,nt.acc.sg,"e
āni",nt.acc.pl,,anta prp,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,nom,ī,m.nom.sg,"ī
ino",m.nom.pl,,,,,,,,nom,i,f.nom.sg,"ī
iyo",f.nom.pl,,nom,u,nt.nom.sg,"ū
ūni",nt.nom.pl,,fut 1st,issāmi,fut.1.sg,issāma,fut.1.pl,issaṃ,fut.reflx.1.sg,issāmhe,fut.reflx.1.pl,
acc,inaṃ,m.acc.sg,"ī
ino",m.acc.pl,iniṃ,f.acc.sg,iniyo,f.acc.pl,"i
iṃ",nt.acc.sg,"ini
ī",nt.acc.pl,,instr,ekena,m.instr.sg,ekehi,m.instr.pl,ekāya,f.instr.sg,ekāhi,f.instr.pl,ekena,nt.instr.sg,ekehi,nt.instr.pl,,instr,ena,m.instr.sg,ehi,m.instr.pl,āya,f.instr.sg,āhi,f.instr.pl,ena,nt.instr.sg,ehi,nt.instr.pl,,nom,"aṃ
anto",m.nom.sg,"anto
antā",m.nom.pl,antī,f.nom.sg,"antī
antiyo",f.nom.pl,aṃ,nt.nom.sg,"antā
antāni",nt.nom.pl,,acc,"inaṃ
iṃ",m.acc.sg,"ī
ino",m.acc.pl,,,,,,,,acc,iṃ,f.acc.sg,"ī
iyo",f.acc.pl,,acc,uṃ,nt.acc.sg,"ū
ūni",nt.acc.pl,,,,,,,,,,,
instr,inā,m.instr.sg,"ihiīhi
ibhi",m.instr.pl,iniyā,f.instr.sg,inīhi,f.instr.pl,inā,nt.instr.sg,"ihi
īhi",nt.instr.pl,,dat,ekassa,m.dat.sg,ekesaṃ,m.dat.pl,"ekāya
ekissā",f.dat.sg,ekāsaṃ,f.dat.pl,ekassa,nt.dat.sg,ekesaṃ,nt.dat.pl,,dat,assa,m.dat.sg,"esaṃ
esānaṃ",m.dat.pl,"assa
āya",f.dat.sg,"āsaṃ
āsānaṃ",f.dat.pl,assa,nt.dat.sg,"esaṃ
esānaṃ",nt.dat.pl,,acc,antaṃ,m.acc.sg,ante,m.acc.pl,antiṃ,f.acc.sg,"antī
antiyo",f.acc.pl,antaṃ,nt.acc.sg,"ante
antāni",nt.acc.pl,,instr,inā,m.instr.sg,"īhi
ibhi",m.instr.pl,,,,,,,,instr,iyā,f.instr.sg,"īhi
ibhi
ībhi",f.instr.pl,,instr,"unā
usā",nt.instr.sg,ūhi,nt.instr.pl,,eti pr,sg,,pl,,relfx sg,,relfx pl,,
dat,ino,m.dat.sg,"inaṃ
īnaṃ",m.dat.pl,iniyā,f.dat.sg,inīnaṃ,f.dat.pl,ino,nt.dat.sg,"inaṃ
īnaṃ",nt.dat.pl,,abl,"ekamhā
ekasmā",m.abl.sg,ekehi,m.abl.pl,ekāya,f.abl.sg,ekāhi,f.abl.pl,"ekamhā
ekasmā",nt.abl.sg,ekehi,nt.abl.pl,,abl,"amhā
asmā
ato",m.abl.sg,ehi,m.abl.pl,āya,f.abl.sg,āhi,f.abl.pl,"amhā
asmā",nt.abl.sg,ehi,nt.abl.pl,,instr,"atā
antena",m.instr.sg,antehi,m.instr.pl,antiyā,f.instr.sg,antīhi,f.instr.pl,"atā
antena",nt.instr.sg,antehi,nt.instr.pl,,dat,"ino
issa",m.dat.sg,īnaṃ,m.dat.pl,,,,,,,,dat,iyā,f.dat.sg,īnaṃ,f.dat.pl,,dat,"uno
ussa",nt.dat.sg,ūnaṃ,nt.dat.pl,,pr 3rd,eti,pr.3.sg,enti,pr.3.pl,,pr.reflx.3.sg,,pr.reflx.3.pl,
abl,"inā
ismā
imhā",m.abl.sg,"ihi
īhi",m.abl.pl,iniyā,f.abl.sg,inīhi,f.abl.pl,"inā
ito
ismā
imhā",nt.abl.sg,"ihi
īhi",nt.abl.pl,,gen,ekassa,m.gen.sg,ekesaṃ,m.gen.pl,"ekāya
ekissā",f.gen.sg,ekāsaṃ,f.gen.pl,ekassa,nt.gen.sg,ekesaṃ,nt.gen.pl,,gen,assa,m.gen.sg,"esaṃ
esānaṃ",m.gen.pl,"assa
āya",f.gen.sg,"āsaṃ
āsānaṃ",f.gen.pl,assa,nt.gen.sg,"esaṃ
esānaṃ",nt.gen.pl,,dat,"ato
antassa",m.dat.sg,"ataṃ
antānaṃ",m.dat.pl,antiyā,f.dat.sg,antīnaṃ,f.dat.pl,"ato
antassa",nt.dat.sg,"ataṃ
antānaṃ",nt.dat.pl,,abl,"inā
imhā
ismā",m.abl.sg,"īhi
ibhi",m.abl.pl,,,,,,,,abl,iyā,f.abl.sg,"īhi
ibhi
ībhi",f.abl.pl,,abl,"unā
umhā
usmā",nt.abl.sg,ūhi,nt.abl.pl,,pr 2nd,esi,pr.2.sg,etha,pr.2.pl,,pr.reflx.2.sg,,pr.reflx.2.pl,
gen,ino,m.gen.sg,"inaṃ
īnaṃ",m.gen.pl,iniyā,f.gen.sg,inīnaṃ,f.gen.pl,"ino
issa",nt.gen.sg,"inaṃ
īnaṃ",nt.gen.pl,,loc,"ekamhi
ekasmiṃ",m.loc.sg,ekesu,m.loc.pl,"ekāya
ekāyaṃ
ekissaṃ",f.loc.sg,ekāsu,f.loc.pl,"ekamhi
ekasmiṃ",nt.loc.sg,ekesu,nt.loc.pl,,loc,amhiasmiṃ,m.loc.sg,esu,m.loc.pl,"assaṃ
āyaṃ
āya",f.loc.sg,āsu,f.loc.pl,"amhi
asmiṃ",nt.loc.sg,esu,nt.loc.pl,,abl,"atā
antamhā
antasmā",m.abl.sg,antehi,m.abl.pl,antiyā,f.abl.sg,antīhi,f.abl.pl,"atā
antamhā
antasmā",nt.abl.sg,antehi,nt.abl.pl,,gen,"ino
issa",m.gen.sg,īnaṃ,m.gen.pl,,,,,,,,gen,iyā,f.gen.sg,īnaṃ,f.gen.pl,,gen,"uno
ussa",nt.gen.sg,ūnaṃ,nt.gen.pl,,pr 1st,emi,pr.1.sg,ema,pr.1.pl,,pr.reflx.1.sg,,pr.reflx.1.pl,
loc,"ini
ismiṃ
imhi",m.loc.sg,"isu
īsu",m.loc.pl,"iniyā
iniyāṃ",f.loc.sg,inīsu,f.loc.pl,"ismiṃ
imhi",nt.loc.sg,"isu
īsu",nt.loc.pl,,in comps,eka,,,,,,,,,,,,,in comps,a,,,,,,,,,,,,,gen,"ato
antassa",m.gen.sg,"ataṃ
antānaṃ",m.gen.pl,antiyā,f.gen.sg,antīnaṃ,f.gen.pl,atoantassa,nt.gen.sg,"ataṃ
antānaṃ",nt.gen.pl,,loc,"ini
imhi
ismiṃ",m.loc.sg,īsu,m.loc.pl,,,,,,,,loc,"iyā
iyaṃ",f.loc.sg,"isu
īsu",f.loc.pl,,loc,"umhi
usmiṃ",nt.loc.sg,ūsu,nt.loc.pl,,imp 3rd,etu,imp.3.sg,entu,imp.3.pl,etaṃ,imp.reflx.3.sg,entaṃ,imp.reflx.3.pl,
voc,ī,m.voc.sg,ino,m.voc.pl,inī,f.voc.sg,iniyo,f.voc.pl,"i
iṃ",nt.voc.sg,"ini
ī",nt.voc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"ati
ante
antamhi
antasmiṃ",m.loc.sg,antesu,m.loc.pl,"antiyā
antiyaṃ",f.loc.sg,antīsu,f.loc.pl,"ati
ante
antamhi
antasmiṃ",nt.loc.sg,antesu,nt.loc.pl,,voc,ī,m.voc.sg,"ī
ino",m.voc.pl,,,,,,,,voc,i,f.voc.sg,"ī
iyo",f.voc.pl,,voc,u,nt.voc.sg,"ū
ūni",nt.voc.pl,,imp 2nd,ehi,imp.2.sg,etha,imp.2.pl,essu,imp.reflx.2.sg,evho,imp.reflx.2.pl,
